s,name,distance_km_approx
http://knowdive.disi.unitn.it/etype#School/1,associazione r. steiner - primaria,0.0E0
http://knowdive.disi.unitn.it/etype#School/152,scuola primaria arcivescovile trento,0.0E0
http://knowdive.disi.unitn.it/etype#School/157,scuola primaria sacra famiglia trento,0.0E0
http://knowdive.disi.unitn.it/etype#School/169,scuola primaria mattarello,0.0E0
http://knowdive.disi.unitn.it/etype#School/170,scuola primaria romagnano trento,0.0E0
http://knowdive.disi.unitn.it/etype#School/376,"scuola primaria ""g. a. tomasi"" villazzano",0.0E0
http://knowdive.disi.unitn.it/etype#School/377,"scuola primaria ""u. moggioli"" povo",0.0E0
http://knowdive.disi.unitn.it/etype#School/379,"scuola primaria ""e. bernardi"" cognola",0.0E0
http://knowdive.disi.unitn.it/etype#School/380,"scuola primaria ""r. belenzani"" s.vito",0.0E0
http://knowdive.disi.unitn.it/etype#School/381,"scuola primaria ""r. zandonai"" martignano",0.0E0
http://knowdive.disi.unitn.it/etype#School/382,scuola primaria casa serena,0.0E0
http://knowdive.disi.unitn.it/etype#School/384,"scuola primaria ""a. nicolodi"" trento",0.0E0
http://knowdive.disi.unitn.it/etype#School/385,"scuola primaria ""d. savio"" trento",0.0E0
http://knowdive.disi.unitn.it/etype#School/386,"scuola primaria ""g. b. de gaspari"" trento",0.0E0
http://knowdive.disi.unitn.it/etype#School/387,scuola primaria ravina,0.0E0
http://knowdive.disi.unitn.it/etype#School/389,scuola primaria clarina trento,0.0E0
http://knowdive.disi.unitn.it/etype#School/390,scuola primaria localita' madonna bianca trento,0.0E0
http://knowdive.disi.unitn.it/etype#School/391,scuola primaria ospedale infantile trento,0.0E0
http://knowdive.disi.unitn.it/etype#School/393,"scuola primaria ""a. gorfer"" trento",0.0E0
http://knowdive.disi.unitn.it/etype#School/394,"scuola primaria ""f. crispi"" trento",0.0E0
http://knowdive.disi.unitn.it/etype#School/395,"scuola primaria ""r. sanzio"" trento",0.0E0
http://knowdive.disi.unitn.it/etype#School/397,"scuola primaria ""a. degasperi"" sardagna",0.0E0
http://knowdive.disi.unitn.it/etype#School/398,"scuola primaria ""a. schmid"" cristo re trento",0.0E0
http://knowdive.disi.unitn.it/etype#School/399,"scuola primaria ""beato s. bellesini"" trento",0.0E0
http://knowdive.disi.unitn.it/etype#School/400,"scuola primaria ""s. pertini"" sopramonte",0.0E0
http://knowdive.disi.unitn.it/etype#School/401,"scuola primaria ""san vigilio"" vela",0.0E0
http://knowdive.disi.unitn.it/etype#School/402,scuola primaria cadine,0.0E0
http://knowdive.disi.unitn.it/etype#School/404,"scuola primaria ""e. de carli"" meano",0.0E0
http://knowdive.disi.unitn.it/etype#School/405,"scuola primaria ""i. calvino"" vigo meano",0.0E0
http://knowdive.disi.unitn.it/etype#School/406,"scuola primaria ""pigarelli"" gardolo trento",0.0E0
http://knowdive.disi.unitn.it/etype#School/407,"scuola primaria ""s. anna"" gardolo trento",0.0E0
http://knowdive.disi.unitn.it/etype#School/515,scuola primaria sacro cuore trento,0.0E0
http://knowdive.disi.unitn.it/etype#School/243,"scuola primaria ""g. b. borsieri"" civezzano",6.249516671136005E0
http://knowdive.disi.unitn.it/etype#School/245,scuola primaria seregnano civezzano,6.249516671136005E0
http://knowdive.disi.unitn.it/etype#School/295,"scuola primaria ""don g. grazioli"" lavis",8.060704201267413E0
http://knowdive.disi.unitn.it/etype#School/296,scuola primaria pressano lavis,8.060704201267413E0
http://knowdive.disi.unitn.it/etype#School/320,"scuola primaria ""don l. milani"" pergine valsugana",9.010893426096112E0
http://knowdive.disi.unitn.it/etype#School/321,scuola primaria canezza,9.010893426096112E0
http://knowdive.disi.unitn.it/etype#School/324,scuola primaria zivignago,9.010893426096112E0
http://knowdive.disi.unitn.it/etype#School/326,"scuola primaria ""g. rodari"" pergine valsugana",9.010893426096112E0
http://knowdive.disi.unitn.it/etype#School/327,scuola primaria canale,9.010893426096112E0
http://knowdive.disi.unitn.it/etype#School/328,scuola primaria madrano,9.010893426096112E0
http://knowdive.disi.unitn.it/etype#School/329,scuola primaria susa',9.010893426096112E0
http://knowdive.disi.unitn.it/etype#School/242,"scuola primaria ""a. girardi"" fornace",9.05007769474902E0
http://knowdive.disi.unitn.it/etype#School/294,"scuola primaria ""a. frank"" zambana",9.574521810221674E0
http://knowdive.disi.unitn.it/etype#School/313,scuola primaria nave san rocco,9.574521810221674E0
http://knowdive.disi.unitn.it/etype#School/434,"scuola primaria ""a. fogazzaro"" vattaro",9.82602473735187E0
http://knowdive.disi.unitn.it/etype#School/435,"scuola primaria ""don t. segnana"" centa san nicolo'",9.82602473735187E0
http://knowdive.disi.unitn.it/etype#School/436,scuola primaria vigolo vattaro,9.82602473735187E0
http://knowdive.disi.unitn.it/etype#School/424,scuola primaria terlago,1.0298142870358994E1
http://knowdive.disi.unitn.it/etype#School/425,scuola primaria vezzano,1.0298142870358994E1
http://knowdive.disi.unitn.it/etype#School/229,scuola primaria verla giovo,1.0310025230310604E1
http://knowdive.disi.unitn.it/etype#School/168,scuola primaria cimone,1.0404970460814692E1
http://knowdive.disi.unitn.it/etype#School/419,scuola primaria calavino,1.0465462973090888E1
http://knowdive.disi.unitn.it/etype#School/423,scuola primaria sarche calavino,1.0465462973090888E1
http://knowdive.disi.unitn.it/etype#School/167,scuola primaria aldeno,1.0486415359419144E1
http://knowdive.disi.unitn.it/etype#School/244,scuola primaria albiano,1.1288289698443666E1
http://knowdive.disi.unitn.it/etype#School/300,"scuola primaria ""padre b. martinelli"" calceranica al lago",1.1993007238308966E1
http://knowdive.disi.unitn.it/etype#School/224,"scuola primaria ""don l. milani"" lases",1.2067529980678305E1
http://knowdive.disi.unitn.it/etype#School/184,"scuola primaria ""g. dallafior"" baselga di pine'",1.2120817569428201E1
http://knowdive.disi.unitn.it/etype#School/185,"scuola primaria ""g. verdi"" miola baselga di pine'",1.2120817569428201E1
http://knowdive.disi.unitn.it/etype#School/299,"scuola primaria ""g. rosanelli"" tenna",1.2857772393489702E1
http://knowdive.disi.unitn.it/etype#School/309,"scuola primaria ""don l. rossi"" fai della paganella",1.354838957001114E1
http://knowdive.disi.unitn.it/etype#School/298,"scuola primaria ""c. chiesa"" caldonazzo",1.3764371412397326E1
http://knowdive.disi.unitn.it/etype#School/420,scuola primaria cavedine,1.3764433484952875E1
http://knowdive.disi.unitn.it/etype#School/426,scuola primaria vigo cavedine,1.3764433484952875E1
http://knowdive.disi.unitn.it/etype#School/181,"scuola primaria ""s. pellico"" besenello",1.3897966013981437E1
http://knowdive.disi.unitn.it/etype#School/312,scuola primaria andalo,1.4103868039564553E1
http://knowdive.disi.unitn.it/etype#School/179,"scuola primaria ""a.de valentini"" calliano",1.4200702366975392E1
http://knowdive.disi.unitn.it/etype#School/304,"scuola primaria ""f. biasi"" s.michele all'adige",1.4220263287381949E1
http://knowdive.disi.unitn.it/etype#School/306,scuola primaria grumo,1.4220263287381949E1
http://knowdive.disi.unitn.it/etype#School/310,"scuola primaria ""l. nicolussi"" molveno",1.4486045056561132E1
http://knowdive.disi.unitn.it/etype#School/227,scuola primaria cembra,1.5106428252666488E1
http://knowdive.disi.unitn.it/etype#School/323,scuola primaria sant'orsola,1.5208628999600014E1
http://knowdive.disi.unitn.it/etype#School/301,scuola primaria levico terme,1.5220566456288914E1
http://knowdive.disi.unitn.it/etype#School/438,"scuola primaria ""l. vicentini"" nomi",1.5337787055532921E1
http://knowdive.disi.unitn.it/etype#School/225,"scuola primaria ""p. marconi"" faver",1.5801939985669932E1
http://knowdive.disi.unitn.it/etype#School/308,"scuola primaria ""c. darwin"" mezzolombardo",1.599139641609075E1
http://knowdive.disi.unitn.it/etype#School/286,"scuola primaria ""san g. bosco"" s.lorenzo in banale",1.6044574874669816E1
http://knowdive.disi.unitn.it/etype#School/322,scuola primaria s.felice fierozzo,1.6331867173910815E1
http://knowdive.disi.unitn.it/etype#School/440,"scuola primaria ""r. galvagni"" pomarolo",1.64412961288543E1
http://knowdive.disi.unitn.it/etype#School/303,"scuola primaria ""a. degasperi"" mezzocorona",1.6698169666451516E1
http://knowdive.disi.unitn.it/etype#School/180,"scuola primaria ""g. tovazzi"" volano",1.7141145404811706E1
http://knowdive.disi.unitn.it/etype#School/228,scuola primaria stedro segonzano,1.739581434943767E1
http://knowdive.disi.unitn.it/etype#School/311,"scuola primaria ""san g. bosco"" spormaggiore",1.74719708464782E1
http://knowdive.disi.unitn.it/etype#School/271,"scuola primaria ""s. lauton"" folgaria",1.747568823711706E1
http://knowdive.disi.unitn.it/etype#School/439,"scuola primaria ""p. lodron"" villa lagarina",1.7898421545565025E1
http://knowdive.disi.unitn.it/etype#School/183,"scuola primaria  ""abramo andreatta"" bedollo",1.800190181784995E1
http://knowdive.disi.unitn.it/etype#School/272,scuola primaria lavarone,1.8837291260678565E1
http://knowdive.disi.unitn.it/etype#School/421,scuola primaria dro,1.9051675807460672E1
http://knowdive.disi.unitn.it/etype#School/422,scuola primaria pietramurata,1.9051675807460672E1
http://knowdive.disi.unitn.it/etype#School/441,scuola primaria nogaredo,1.909233283843675E1
