s,n
http://knowdive.disi.unitn.it/etype#School/1,associazione r. steiner - primaria
http://knowdive.disi.unitn.it/etype#School/152,scuola primaria arcivescovile trento
http://knowdive.disi.unitn.it/etype#School/157,scuola primaria sacra famiglia trento
http://knowdive.disi.unitn.it/etype#School/169,scuola primaria mattarello
http://knowdive.disi.unitn.it/etype#School/170,scuola primaria romagnano trento
http://knowdive.disi.unitn.it/etype#School/376,"scuola primaria ""g. a. tomasi"" villazzano"
http://knowdive.disi.unitn.it/etype#School/377,"scuola primaria ""u. moggioli"" povo"
http://knowdive.disi.unitn.it/etype#School/379,"scuola primaria ""e. bernardi"" cognola"
http://knowdive.disi.unitn.it/etype#School/380,"scuola primaria ""r. belenzani"" s.vito"
http://knowdive.disi.unitn.it/etype#School/381,"scuola primaria ""r. zandonai"" martignano"
http://knowdive.disi.unitn.it/etype#School/382,scuola primaria casa serena
http://knowdive.disi.unitn.it/etype#School/384,"scuola primaria ""a. nicolodi"" trento"
http://knowdive.disi.unitn.it/etype#School/385,"scuola primaria ""d. savio"" trento"
http://knowdive.disi.unitn.it/etype#School/386,"scuola primaria ""g. b. de gaspari"" trento"
http://knowdive.disi.unitn.it/etype#School/387,scuola primaria ravina
http://knowdive.disi.unitn.it/etype#School/389,scuola primaria clarina trento
http://knowdive.disi.unitn.it/etype#School/390,scuola primaria localita' madonna bianca trento
http://knowdive.disi.unitn.it/etype#School/391,scuola primaria ospedale infantile trento
http://knowdive.disi.unitn.it/etype#School/393,"scuola primaria ""a. gorfer"" trento"
http://knowdive.disi.unitn.it/etype#School/394,"scuola primaria ""f. crispi"" trento"
http://knowdive.disi.unitn.it/etype#School/395,"scuola primaria ""r. sanzio"" trento"
http://knowdive.disi.unitn.it/etype#School/397,"scuola primaria ""a. degasperi"" sardagna"
http://knowdive.disi.unitn.it/etype#School/398,"scuola primaria ""a. schmid"" cristo re trento"
http://knowdive.disi.unitn.it/etype#School/399,"scuola primaria ""beato s. bellesini"" trento"
http://knowdive.disi.unitn.it/etype#School/400,"scuola primaria ""s. pertini"" sopramonte"
http://knowdive.disi.unitn.it/etype#School/401,"scuola primaria ""san vigilio"" vela"
http://knowdive.disi.unitn.it/etype#School/402,scuola primaria cadine
http://knowdive.disi.unitn.it/etype#School/404,"scuola primaria ""e. de carli"" meano"
http://knowdive.disi.unitn.it/etype#School/405,"scuola primaria ""i. calvino"" vigo meano"
http://knowdive.disi.unitn.it/etype#School/406,"scuola primaria ""pigarelli"" gardolo trento"
http://knowdive.disi.unitn.it/etype#School/407,"scuola primaria ""s. anna"" gardolo trento"
http://knowdive.disi.unitn.it/etype#School/515,scuola primaria sacro cuore trento
http://knowdive.disi.unitn.it/etype#School/1,associazione r. steiner - primaria
http://knowdive.disi.unitn.it/etype#School/152,scuola primaria arcivescovile trento
http://knowdive.disi.unitn.it/etype#School/157,scuola primaria sacra famiglia trento
http://knowdive.disi.unitn.it/etype#School/169,scuola primaria mattarello
http://knowdive.disi.unitn.it/etype#School/170,scuola primaria romagnano trento
http://knowdive.disi.unitn.it/etype#School/376,"scuola primaria ""g. a. tomasi"" villazzano"
http://knowdive.disi.unitn.it/etype#School/377,"scuola primaria ""u. moggioli"" povo"
http://knowdive.disi.unitn.it/etype#School/379,"scuola primaria ""e. bernardi"" cognola"
http://knowdive.disi.unitn.it/etype#School/380,"scuola primaria ""r. belenzani"" s.vito"
http://knowdive.disi.unitn.it/etype#School/381,"scuola primaria ""r. zandonai"" martignano"
http://knowdive.disi.unitn.it/etype#School/382,scuola primaria casa serena
http://knowdive.disi.unitn.it/etype#School/384,"scuola primaria ""a. nicolodi"" trento"
http://knowdive.disi.unitn.it/etype#School/385,"scuola primaria ""d. savio"" trento"
http://knowdive.disi.unitn.it/etype#School/386,"scuola primaria ""g. b. de gaspari"" trento"
http://knowdive.disi.unitn.it/etype#School/387,scuola primaria ravina
http://knowdive.disi.unitn.it/etype#School/389,scuola primaria clarina trento
http://knowdive.disi.unitn.it/etype#School/390,scuola primaria localita' madonna bianca trento
http://knowdive.disi.unitn.it/etype#School/391,scuola primaria ospedale infantile trento
http://knowdive.disi.unitn.it/etype#School/393,"scuola primaria ""a. gorfer"" trento"
http://knowdive.disi.unitn.it/etype#School/394,"scuola primaria ""f. crispi"" trento"
http://knowdive.disi.unitn.it/etype#School/395,"scuola primaria ""r. sanzio"" trento"
http://knowdive.disi.unitn.it/etype#School/397,"scuola primaria ""a. degasperi"" sardagna"
http://knowdive.disi.unitn.it/etype#School/398,"scuola primaria ""a. schmid"" cristo re trento"
http://knowdive.disi.unitn.it/etype#School/399,"scuola primaria ""beato s. bellesini"" trento"
http://knowdive.disi.unitn.it/etype#School/400,"scuola primaria ""s. pertini"" sopramonte"
