s,n,m,altitude
http://knowdive.disi.unitn.it/etype#School/158,"scuola dell'infanzia di canazei ""don simone micheluzzi de ciciol""",http://knowdive.disi.unitn.it/etype#Municipality/canazei,1465
http://knowdive.disi.unitn.it/etype#School/733,"scuola primaria ""g. rizzi"" canazei",http://knowdive.disi.unitn.it/etype#Municipality/canazei,1465
http://knowdive.disi.unitn.it/etype#School/593,scuola dell'infanzia di campitello di fassa,http://knowdive.disi.unitn.it/etype#Municipality/campitello%20di%20fassa,1448
http://knowdive.disi.unitn.it/etype#School/736,"scuola secondaria di primo grado ""t. soraruf"" campitello di fassa",http://knowdive.disi.unitn.it/etype#Municipality/campitello%20di%20fassa,1448
http://knowdive.disi.unitn.it/etype#School/55,"scuola dell'infanzia di s. orsola ""il girotondo""",http://knowdive.disi.unitn.it/etype#Municipality/sant'orsola%20terme,1428
http://knowdive.disi.unitn.it/etype#School/323,scuola primaria sant'orsola,http://knowdive.disi.unitn.it/etype#Municipality/sant'orsola%20terme,1428
http://knowdive.disi.unitn.it/etype#School/269,scuola dell'infanzia di luserna,http://knowdive.disi.unitn.it/etype#Municipality/luserna,1333
http://knowdive.disi.unitn.it/etype#School/159,"scuola dell'infanzia di pera di fassa ""don edy cinzol""",http://knowdive.disi.unitn.it/etype#Municipality/san%20giovanni%20di%20fassa,1325
http://knowdive.disi.unitn.it/etype#School/720,scuola dell'infanzia di vigo di fassa,http://knowdive.disi.unitn.it/etype#Municipality/san%20giovanni%20di%20fassa,1325
http://knowdive.disi.unitn.it/etype#School/728,liceo artistico,http://knowdive.disi.unitn.it/etype#Municipality/san%20giovanni%20di%20fassa,1325
http://knowdive.disi.unitn.it/etype#School/729,liceo ladino delle lingue,http://knowdive.disi.unitn.it/etype#Municipality/san%20giovanni%20di%20fassa,1325
http://knowdive.disi.unitn.it/etype#School/730,liceo scientifico,http://knowdive.disi.unitn.it/etype#Municipality/san%20giovanni%20di%20fassa,1325
http://knowdive.disi.unitn.it/etype#School/731,"scuola primaria ""don g. b. massar"" vigo di fassa",http://knowdive.disi.unitn.it/etype#Municipality/san%20giovanni%20di%20fassa,1325
http://knowdive.disi.unitn.it/etype#School/732,"scuola primaria ""don l. gross"" pozza di fassa",http://knowdive.disi.unitn.it/etype#Municipality/san%20giovanni%20di%20fassa,1325
http://knowdive.disi.unitn.it/etype#School/737,scuola secondaria di primo grado pozza di fassa,http://knowdive.disi.unitn.it/etype#Municipality/san%20giovanni%20di%20fassa,1325
http://knowdive.disi.unitn.it/etype#School/176,scuola primaria passo tonale,http://knowdive.disi.unitn.it/etype#Municipality/vermiglio,1261
http://knowdive.disi.unitn.it/etype#School/177,scuola primaria vermiglio,http://knowdive.disi.unitn.it/etype#Municipality/vermiglio,1261
http://knowdive.disi.unitn.it/etype#School/716,scuola dell'infanzia di vermiglio,http://knowdive.disi.unitn.it/etype#Municipality/vermiglio,1261
http://knowdive.disi.unitn.it/etype#School/160,scuola dell'infanzia di soraga,http://knowdive.disi.unitn.it/etype#Municipality/soraga%20di%20fassa,1220
http://knowdive.disi.unitn.it/etype#School/75,scuola dell'infanzia di ruffrè,http://knowdive.disi.unitn.it/etype#Municipality/ruffré-mendola,1200
