s,n,m,population
http://knowdive.disi.unitn.it/etype#School/269,scuola dell'infanzia di luserna,http://knowdive.disi.unitn.it/etype#Municipality/luserna,267
http://knowdive.disi.unitn.it/etype#School/75,scuola dell'infanzia di ruffrè,http://knowdive.disi.unitn.it/etype#Municipality/ruffré-mendola,420
http://knowdive.disi.unitn.it/etype#School/237,scuola primaria ronchi valsugana,http://knowdive.disi.unitn.it/etype#Municipality/ronchi%20valsugana,451
http://knowdive.disi.unitn.it/etype#School/669,scuola dell'infanzia di ronchi valsugana,http://knowdive.disi.unitn.it/etype#Municipality/ronchi%20valsugana,451
http://knowdive.disi.unitn.it/etype#School/50,"scuola dell'infanzia di fierozzo ""himblring""",http://knowdive.disi.unitn.it/etype#Municipality/fierozzo,464
http://knowdive.disi.unitn.it/etype#School/322,scuola primaria s.felice fierozzo,http://knowdive.disi.unitn.it/etype#Municipality/fierozzo,464
http://knowdive.disi.unitn.it/etype#School/78,scuola dell'infanzia di bieno,http://knowdive.disi.unitn.it/etype#Municipality/bieno,465
http://knowdive.disi.unitn.it/etype#School/47,scuola dell'infanzia di casatta,http://knowdive.disi.unitn.it/etype#Municipality/valfloriana,473
http://knowdive.disi.unitn.it/etype#School/217,scuola primaria casatta valfloriana,http://knowdive.disi.unitn.it/etype#Municipality/valfloriana,473
http://knowdive.disi.unitn.it/etype#School/358,scuola primaria samone,http://knowdive.disi.unitn.it/etype#Municipality/samone,546
http://knowdive.disi.unitn.it/etype#School/120,"scuola dell'infanzia di cavedago  ""l'albero azzurro""",http://knowdive.disi.unitn.it/etype#Municipality/cavedago,576
http://knowdive.disi.unitn.it/etype#School/46,"scuola dell'infanzia di capriana ""maddalena lazzeri""",http://knowdive.disi.unitn.it/etype#Municipality/capriana,595
http://knowdive.disi.unitn.it/etype#School/215,scuola primaria capriana,http://knowdive.disi.unitn.it/etype#Municipality/capriana,595
http://knowdive.disi.unitn.it/etype#School/239,scuola primaria telve di sopra,http://knowdive.disi.unitn.it/etype#Municipality/telve%20di%20sopra,620
http://knowdive.disi.unitn.it/etype#School/77,"scuola dell'infanzia di terzolas ""caterina graifenberg""",http://knowdive.disi.unitn.it/etype#Municipality/terzolas,643
http://knowdive.disi.unitn.it/etype#School/587,scuola dell'infanzia di bondone,http://knowdive.disi.unitn.it/etype#Municipality/bondone,644
http://knowdive.disi.unitn.it/etype#School/356,"scuola primaria ""a. degasperi"" pieve tesino",http://knowdive.disi.unitn.it/etype#Municipality/pieve%20tesino,654
http://knowdive.disi.unitn.it/etype#School/655,scuola dell'infanzia di pieve tesino,http://knowdive.disi.unitn.it/etype#Municipality/pieve%20tesino,654
http://knowdive.disi.unitn.it/etype#School/203,"scuola primaria ""b. pezzen"" croviana",http://knowdive.disi.unitn.it/etype#Municipality/croviana,688
http://knowdive.disi.unitn.it/etype#School/702,scuola dell'infanzia di torcegno odv,http://knowdive.disi.unitn.it/etype#Municipality/torcegno,694
