s,n,admission_rate
http://knowdive.disi.unitn.it/etype#School/16,capes - settore servizi,100.0
http://knowdive.disi.unitn.it/etype#School/443,capes - settore servizi,100.0
http://knowdive.disi.unitn.it/etype#School/451,capes - settore servizi,100.0
http://knowdive.disi.unitn.it/etype#School/557,liceo classico,100.0
http://knowdive.disi.unitn.it/etype#School/487,liceo scientifico,99.09909909909909
http://knowdive.disi.unitn.it/etype#School/477,liceo scientifico,98.83720930232558
http://knowdive.disi.unitn.it/etype#School/154,liceo linguistico arcivescovile dame inglesi - rovereto,98.75
http://knowdive.disi.unitn.it/etype#School/559,liceo delle scienze umane,98.75
http://knowdive.disi.unitn.it/etype#School/513,liceo delle scienze umane,98.61111111111111
http://knowdive.disi.unitn.it/etype#School/562,liceo scientifico,98.47715736040608
http://knowdive.disi.unitn.it/etype#School/741,istituto tecnico per il settore economico,98.4251968503937
http://knowdive.disi.unitn.it/etype#School/548,liceo scientifico,98.36065573770492
http://knowdive.disi.unitn.it/etype#School/565,liceo delle scienze umane opzione economico sociale,98.25174825174825
http://knowdive.disi.unitn.it/etype#School/512,liceo artistico,98.11320754716981
http://knowdive.disi.unitn.it/etype#School/569,liceo musicale coreutico,98.08612440191388
http://knowdive.disi.unitn.it/etype#School/571,liceo scientifico,98.01980198019803
http://knowdive.disi.unitn.it/etype#School/3,"liceo delle scienze umane ""scuola steiner"" trento",97.95918367346938
http://knowdive.disi.unitn.it/etype#School/463,liceo scientifico,97.95918367346938
http://knowdive.disi.unitn.it/etype#School/730,liceo scientifico,97.89473684210527
http://knowdive.disi.unitn.it/etype#School/505,liceo scientifico,97.79005524861878
http://knowdive.disi.unitn.it/etype#School/545,liceo scientifico opzione scienze applicate,97.77777777777777
http://knowdive.disi.unitn.it/etype#School/151,liceo scientifico arcivescovile - trento,97.71428571428571
http://knowdive.disi.unitn.it/etype#School/576,liceo scientifico opzione scienze applicate steam,97.57575757575758
http://knowdive.disi.unitn.it/etype#School/573,liceo scientifico,97.46192893401016
http://knowdive.disi.unitn.it/etype#School/495,liceo delle scienze umane,97.43589743589743
http://knowdive.disi.unitn.it/etype#School/546,liceo classico,97.33333333333334
http://knowdive.disi.unitn.it/etype#School/544,liceo scientifico,97.23320158102767
http://knowdive.disi.unitn.it/etype#School/566,liceo classico,97.21448467966573
http://knowdive.disi.unitn.it/etype#School/575,capes - settore industria e artigianato,97.14285714285714
http://knowdive.disi.unitn.it/etype#School/486,liceo linguistico,97.05882352941177
http://knowdive.disi.unitn.it/etype#School/561,liceo linguistico,96.98795180722891
http://knowdive.disi.unitn.it/etype#School/458,istituto tecnico per il settore economico,96.9298245614035
http://knowdive.disi.unitn.it/etype#School/460,istituto tecnico per il settore tecnologico,96.5909090909091
http://knowdive.disi.unitn.it/etype#School/547,liceo linguistico,96.56862745098039
http://knowdive.disi.unitn.it/etype#School/260,liceo scientifico opzione scienze applicate,96.55172413793103
http://knowdive.disi.unitn.it/etype#School/504,liceo delle scienze umane opzione economico sociale,96.5
http://knowdive.disi.unitn.it/etype#School/464,liceo scientifico opzione scienze applicate,96.42857142857143
http://knowdive.disi.unitn.it/etype#School/478,liceo scientifico opzione scienze applicate,96.18320610687023
http://knowdive.disi.unitn.it/etype#School/572,liceo scientifico opzione scienze applicate,96.1352657004831
http://knowdive.disi.unitn.it/etype#School/549,liceo scientifico opzione scienze applicate,96.0431654676259
http://knowdive.disi.unitn.it/etype#School/462,liceo delle scienze umane,95.97701149425288
http://knowdive.disi.unitn.it/etype#School/728,liceo artistico,95.95375722543352
http://knowdive.disi.unitn.it/etype#School/509,liceo scientifico opzione scienze applicate,95.8904109589041
http://knowdive.disi.unitn.it/etype#School/542,liceo linguistico,95.85492227979275
http://knowdive.disi.unitn.it/etype#School/543,liceo musicale e coreutico,95.83333333333334
http://knowdive.disi.unitn.it/etype#School/506,liceo scientifico opzione scienze applicate,95.72192513368985
http://knowdive.disi.unitn.it/etype#School/42,capes - settore servizi,95.65217391304348
http://knowdive.disi.unitn.it/etype#School/729,liceo ladino delle lingue,95.58823529411765
http://knowdive.disi.unitn.it/etype#School/570,liceo linguistico,95.52845528455285
http://knowdive.disi.unitn.it/etype#School/523,istituto tecnico per il settore economico,95.41666666666667
http://knowdive.disi.unitn.it/etype#School/541,liceo delle scienze umane,95.28301886792453
http://knowdive.disi.unitn.it/etype#School/476,liceo linguistico,95.19999999999999
http://knowdive.disi.unitn.it/etype#School/475,liceo delle scienze umane,95.18072289156626
http://knowdive.disi.unitn.it/etype#School/560,liceo delle scienze umane opzione economico sociale,95.08196721311475
http://knowdive.disi.unitn.it/etype#School/498,liceo scientifico,95.06172839506173
http://knowdive.disi.unitn.it/etype#School/150,liceo classico arcivescovile - trento,95.0
http://knowdive.disi.unitn.it/etype#School/514,liceo scientifico opzione scienze applicate,95.0
http://knowdive.disi.unitn.it/etype#School/567,"liceo artistico ""depero""- rovereto",94.9748743718593
http://knowdive.disi.unitn.it/etype#School/540,liceo classico,94.84536082474226
http://knowdive.disi.unitn.it/etype#School/564,liceo delle scienze umane,94.76439790575915
http://knowdive.disi.unitn.it/etype#School/20,capes - settore servizi,94.73684210526315
http://knowdive.disi.unitn.it/etype#School/33,capes - settore servizi,94.44444444444444
http://knowdive.disi.unitn.it/etype#School/563,liceo scientifico opzione scienze applicate,94.44444444444444
http://knowdive.disi.unitn.it/etype#School/740,istituto professionale per il settore dei servizi,94.28571428571428
http://knowdive.disi.unitn.it/etype#School/574,liceo scientifico opzione scienze applicate,94.17721518987342
http://knowdive.disi.unitn.it/etype#School/507,istituto tecnico per il settore economico,94.11764705882352
http://knowdive.disi.unitn.it/etype#School/496,liceo delle scienze umane opzione economico sociale,93.93939393939394
http://knowdive.disi.unitn.it/etype#School/525,istituto tecnico per il settore tecnologico,93.8875305623472
http://knowdive.disi.unitn.it/etype#School/742,istituto tecnico per il settore tecnologico,93.75
http://knowdive.disi.unitn.it/etype#School/148,istituto tecnico per il settore economico,93.65079365079364
http://knowdive.disi.unitn.it/etype#School/484,liceo delle scienze umane,93.33333333333333
http://knowdive.disi.unitn.it/etype#School/568,"liceo artistico ""vittoria"" - trento",93.2258064516129
http://knowdive.disi.unitn.it/etype#School/508,istituto tecnico per il settore tecnologico,93.02325581395348
http://knowdive.disi.unitn.it/etype#School/259,istituto tecnico per il settore tecnologico,92.85714285714286
http://knowdive.disi.unitn.it/etype#School/471,istituto tecnico per il settore economico,92.85714285714286
http://knowdive.disi.unitn.it/etype#School/538,istituto tecnico per il settore tecnologico,92.45939675174014
http://knowdive.disi.unitn.it/etype#School/258,istituto tecnico per il settore economico,92.15686274509804
http://knowdive.disi.unitn.it/etype#School/162,istituto tecnico per il settore tecnologico,92.05298013245033
http://knowdive.disi.unitn.it/etype#School/482,istituto tecnico per il settore tecnologico,91.93548387096774
http://knowdive.disi.unitn.it/etype#School/500,istituto tecnico per il settore economico,91.61290322580645
http://knowdive.disi.unitn.it/etype#School/529,istituto tecnico per il settore tecnologico,91.6030534351145
http://knowdive.disi.unitn.it/etype#School/480,istituto tecnico per il settore economico - predazzo,91.38755980861244
http://knowdive.disi.unitn.it/etype#School/490,istituto tecnico per il settore economico - pergine,91.34615384615384
http://knowdive.disi.unitn.it/etype#School/447,capes - settore servizi,91.30434782608695
http://knowdive.disi.unitn.it/etype#School/554,liceo delle scienze umane,91.1170928667564
http://knowdive.disi.unitn.it/etype#School/536,istituto tecnico per il settore tecnologico,90.8235294117647
http://knowdive.disi.unitn.it/etype#School/466,istituto professionale per il settore dei servizi,90.69767441860465
http://knowdive.disi.unitn.it/etype#School/497,liceo linguistico,90.51094890510949
http://knowdive.disi.unitn.it/etype#School/555,liceo delle scienze umane opzione economico sociale,90.47619047619048
http://knowdive.disi.unitn.it/etype#School/502,istituto tecnico per il settore tecnologico,90.20979020979021
http://knowdive.disi.unitn.it/etype#School/12,capes - settore servizi,90.0
http://knowdive.disi.unitn.it/etype#School/527,istituto tecnico per il settore economico,89.62962962962962
http://knowdive.disi.unitn.it/etype#School/473,istituto tecnico per il settore tecnologico,89.38053097345133
http://knowdive.disi.unitn.it/etype#School/520,istituto tecnico per il settore economico,89.3709327548807
http://knowdive.disi.unitn.it/etype#School/468,istituto tecnico per il settore economico,89.21161825726142
http://knowdive.disi.unitn.it/etype#School/9,capes - settore industria e artigianato,88.88888888888889
http://knowdive.disi.unitn.it/etype#School/489,istituto tecnico per il settore economico - levico,88.73239436619718
http://knowdive.disi.unitn.it/etype#School/29,capes - settore servizi,88.57142857142857
http://knowdive.disi.unitn.it/etype#School/31,capes - settore industria e artigianato,88.23529411764706
http://knowdive.disi.unitn.it/etype#School/149,istituto tecnico per il settore tecnologico,87.83783783783784
