s,name
http://knowdive.disi.unitn.it/etype#School/176,scuola primaria passo tonale
http://knowdive.disi.unitn.it/etype#School/483,istituto tecnico per il settore tecnologico serale - predazzo
http://knowdive.disi.unitn.it/etype#School/345,"scuola primaria ""n. valduga"" terragnolo"
http://knowdive.disi.unitn.it/etype#School/217,scuola primaria casatta valfloriana
http://knowdive.disi.unitn.it/etype#School/543,liceo musicale e coreutico
http://knowdive.disi.unitn.it/etype#School/361,scuola primaria villa agnedo
http://knowdive.disi.unitn.it/etype#School/526,istituto tecnico per il settore tecnologico serale
http://knowdive.disi.unitn.it/etype#School/417,"scuola secondaria di primo grado ""g. b. righi"" madonna di campiglio"
http://knowdive.disi.unitn.it/etype#School/239,scuola primaria telve di sopra
http://knowdive.disi.unitn.it/etype#School/397,"scuola primaria ""a. degasperi"" sardagna"
http://knowdive.disi.unitn.it/etype#School/530,istituto tecnico per il settore tecnologico serale
http://knowdive.disi.unitn.it/etype#School/474,istituto tecnico per il settore tecnologico serale
http://knowdive.disi.unitn.it/etype#School/198,scuola primaria flavon
http://knowdive.disi.unitn.it/etype#School/215,scuola primaria capriana
http://knowdive.disi.unitn.it/etype#School/220,scuola primaria masi cavalese
http://knowdive.disi.unitn.it/etype#School/221,scuola primaria molina di fiemme
http://knowdive.disi.unitn.it/etype#School/461,istituto tecnico per il settore tecnologico serale
http://knowdive.disi.unitn.it/etype#School/469,istituto tecnico per il settore economico serale
http://knowdive.disi.unitn.it/etype#School/347,scuola primaria moscheri trambileno
http://knowdive.disi.unitn.it/etype#School/288,scuola primaria fiave'
