main institute;institute type;administration type;manager;director;educational coordinator;address;municipality;telephone;fax;institute email;management email;secretary's office email;website;miur code;vivoscuola institute link;wikipedia municipality link
associazione pedagogica steineriana - trento;istituzione scolastica e formativa;paritaria/equiparata;carlo musio;;;via conci, 86 38123;trento;0461930658;;associazione@pec.scuolasteiner-trento.it;;segreteria@scuolasteiner-trento.it;https://www.scuolasteiner-trento.it;;https://www.vivoscuola.it/content/view/full/29224;https://it.wikipedia.org/wiki/Trento
associazione rudolf steiner per la pedagogia aps - rovereto;scuola dell'infanzia;paritaria/equiparata;;;;via stazione mori, 10 38068;rovereto;;;;;;;;https://www.vivoscuola.it/content/view/full/29227;https://it.wikipedia.org/wiki/Rovereto
"centro formazione professionale ""centromoda canossa"" ";istituzione scolastica e formativa;paritaria/equiparata;;michele filippini;;via grazioli, 2 38122;trento;0461260454;0461/267864;canossatrento@pec.it;direzione@centromoda.tn.it;didattica@centromoda.tn.it;https://www.centromoda.tn.it;;https://www.vivoscuola.it/content/view/full/29246;https://it.wikipedia.org/wiki/Trento
centro formazione professionale enaip - arco;istituzione scolastica e formativa;paritaria/equiparata;;diego freo;;via gazzoletti, 8 38062;arco;0464516465;0464/516497;cfp.arco@pec.it;;cfp.arco@enaip.tn.it;https://arco.enaiptrentino.it;;https://www.vivoscuola.it/content/view/full/29248;https://it.wikipedia.org/wiki/Arco_(Italia)
centro formazione professionale enaip - borgo valsugana;istituzione scolastica e formativa;paritaria/equiparata;;francesco micheletti;;via giamaolle, 15 38051;borgo valsugana;0461753037;0461/752070;cfp.borgo@pec.it;;cfp.borgo@enaip.tn.it;https://borgo.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29250;https://it.wikipedia.org/wiki/Borgo_Valsugana
centro formazione professionale enaip - cles;istituzione scolastica e formativa;paritaria/equiparata;;luca branz;;via mitterer, 10 38023;cles;0463421362;0463/421606;cfp.cles@pec.it;;cfp.cles@enaip.tn.it;https://cles.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29253;https://it.wikipedia.org/wiki/Cles
centro formazione professionale enaip - ossana;istituzione scolastica e formativa;paritaria/equiparata;;claudia gosetti;;via di s antonio - ossana, 1 38026;ossana;0463751102;0463/751987;cfp.ossana@pec.it;;cfp.ossana@enaip.tn.it;https://ossana.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29255;https://it.wikipedia.org/wiki/Ossana
centro formazione professionale enaip - primiero;istituzione scolastica e formativa;paritaria/equiparata;;fausto eccher;;via forno - transacqua, 12 38054;primiero san martino di castrozza;0439762057;0439/762833;cfp.primiero@pec.it;;cfp.primiero@enaip.tn.it;https://primiero.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29285;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza
centro formazione professionale enaip - tesero;istituzione scolastica e formativa;paritaria/equiparata;;dino moser;;via caltrezza, 13 38038;tesero;0462813133;0462/813145;cfp.tesero@pec.it;;cfp.tesero@enaip.tn.it;https://tesero.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29257;https://it.wikipedia.org/wiki/Tesero
centro formazione professionale enaip - tione di trento;istituzione scolastica e formativa;paritaria/equiparata;;ketty pellizzari;;via durone, 57 38079;tione di trento;0465321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;https://tione.enaiptrentino.it/;tncf001001;https://www.vivoscuola.it/content/view/full/29260;https://it.wikipedia.org/wiki/Tione_di_Trento
centro formazione professionale enaip - varone di riva del garda;istituzione scolastica e formativa;paritaria/equiparata;;elisabetta filippi;;rione europa, 3 38066;riva del garda;0464521300;0464/521553;cfp.rivadelgarda@pec.it;;cfp.rivadelgarda@enaip.tn.it;https://rivadelgarda.enaiptrentino.it/;tncf007001;https://www.vivoscuola.it/content/view/full/29263;https://it.wikipedia.org/wiki/Riva_del_Garda
centro formazione professionale enaip - villazzano;istituzione scolastica e formativa;paritaria/equiparata;;paola coccia;;via asiago, 14 38123;trento;0461920386;0461/914935;cfp.villazzano@pec.it;;cfp.villazzano@enaip.tn.it;https://villazzano.enaiptrentino.it/;tncf008001;https://www.vivoscuola.it/content/view/full/29265;https://it.wikipedia.org/wiki/Trento
centro formazione professionale opera armida barelli - levico;istituzione scolastica e formativa;paritaria/equiparata;bernardo zanoner;michele linardi;;viale roma, 61 38056;levico terme;0461706145;0461/701940;cfplevico@pec.operaarmidabarelli.org;;cfplevico@operaarmidabarelli.org;https://www.operaarmidabarelli.org;;https://www.vivoscuola.it/content/view/full/29268;https://it.wikipedia.org/wiki/Levico_Terme
centro formazione professionale opera armida barelli - rovereto;istituzione scolastica e formativa;paritaria/equiparata;bernardo zanoner;camilla cestari;;via setaioli, 5 38068;rovereto;0464433771;0464/431711;cfprovereto@pec.operaarmidabarelli.org;;cfprovereto@operaarmidabarelli.org;https://www.operaarmidabarelli.org;tncf005001;https://www.vivoscuola.it/content/view/full/29270;https://it.wikipedia.org/wiki/Rovereto
centro formazione professionale pavoniano artigianelli - trento;istituzione scolastica e formativa;paritaria/equiparata;erik gadotti;;;piazza di fiera, 4 38122;trento;0461270244;0461/270241;scuolagrafica@pec.artigianelli.tn.it;;scuolagrafica@artigianelli.tn.it;http://www.artigianelli.tn.it/;tncf004001;https://www.vivoscuola.it/content/view/full/29272;https://it.wikipedia.org/wiki/Trento
centro formazione professionale upt - arco;istituzione scolastica e formativa;paritaria/equiparata;;claudio nicolussi;;via gazzoletti, 10 38062;arco;0464556585;0464/556599;cfp-upt@pec.it;;segreteria.arco@cfp-upt.it;https://www.cfpupt.it/sede-di-arco;;https://www.vivoscuola.it/content/view/full/29274;https://it.wikipedia.org/wiki/Arco_(Italia)
centro formazione professionale upt - borgo valsugana;istituzione scolastica e formativa;paritaria/equiparata;;claudia mammani;;via del mercato, 9/a 38051;borgo valsugana;04611830221;0461/233877;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;;https://www.vivoscuola.it/content/view/full/122609;https://it.wikipedia.org/wiki/Borgo_Valsugana
centro formazione professionale upt - cles;istituzione scolastica e formativa;paritaria/equiparata;;walter iori;;via d agostin, 2 38023;cles;0463422820;0463/424409;cfp-upt@pec.it;;segreteria.cles@cfp-upt.it;https://www.cfp-upt.it;;https://www.vivoscuola.it/content/view/full/29276;https://it.wikipedia.org/wiki/Cles
centro formazione professionale upt - rovereto;istituzione scolastica e formativa;paritaria/equiparata;;paolo zanlucchi;;via pasqui, 10 38068;rovereto;0464630050;;cfp-upt@pec.it;;segreteria.rovereto@cfp-upt.it;https://www.cfp-upt.it;;https://www.vivoscuola.it/content/view/full/29278;https://it.wikipedia.org/wiki/Rovereto
