main institute;school;miur code;entity;address;miur code list;school count;check
associazione pedagogica steineriana - trento;;;institute;via conci, 86 38123;tnpmts5005|tn1e00900d|tn1m007003;3;0
associazione pedagogica steineriana - trento;associazione r. steiner - primaria;tn1e00900d;school;via conci, 86 38123;tnpmts5005|tn1e00900d|tn1m007003;3;0
associazione pedagogica steineriana - trento;associazione r. steiner - secondaria i grado;tn1m007003;school;via conci, 86 38123;tnpmts5005|tn1e00900d|tn1m007003;3;0
associazione pedagogica steineriana - trento;"liceo delle scienze umane ""scuola steiner"" trento";tnpmts5005;school;via conci - trento, 86 38123;tnpmts5005|tn1e00900d|tn1m007003;3;0
associazione rudolf steiner per la pedagogia aps - rovereto;;;institute;via stazione mori, 10 38068;"";1;1
associazione rudolf steiner per la pedagogia aps - rovereto;asilo colle fiorito;;school;via stazione mori, 10 38068;"";1;1
"centro formazione professionale ""centromoda canossa"" ";;;institute;via grazioli, 2 38122;tncf009001;2;1
"centro formazione professionale ""centromoda canossa"" ";capes - settore industria e artigianato;tncf009001;school;via grazioli, 2 38122;tncf009001;2;1
"centro formazione professionale ""centromoda canossa"" ";settore industria e artigianato;tncf009001;school;via grazioli, 2 38122;tncf009001;2;1
centro formazione professionale enaip - arco;;;institute;via gazzoletti, 8 38062;tnfp249sta|tncf00100q;2;0
centro formazione professionale enaip - arco;capes - settore industria e artigianato;tncf00100q;school;via gazzoletti - mogno, 8 38062;tnfp249sta|tncf00100q;2;0
centro formazione professionale enaip - arco;settore industria e artigianato;tnfp249sta;school;via gazzoletti, 8 38062;tnfp249sta|tncf00100q;2;0
centro formazione professionale enaip - borgo valsugana;;;institute;via giamaolle, 15 38051;tnfp250sta|tncf00200g;2;0
centro formazione professionale enaip - borgo valsugana;capes - settore industria e artigianato;tncf00200g;school;via giamaolle, 15 38051;tnfp250sta|tncf00200g;2;0
centro formazione professionale enaip - borgo valsugana;settore industria e artigianato;tnfp250sta;school;via giamaolle, 15 38051;tnfp250sta|tncf00200g;2;0
centro formazione professionale enaip - cles;;;institute;via mitterer, 10 38023;tnfp251sta;1;0
centro formazione professionale enaip - cles;settore industria e artigianato;tnfp251sta;school;via mitterer, 10 38023;tnfp251sta;1;0
centro formazione professionale enaip - ossana;;;institute;via di s antonio - ossana, 1 38026;tnfp252sta|tncf00300b;2;0
centro formazione professionale enaip - ossana;capes - settore servizi;tncf00300b;school;via di s antonio - ossana, 1 38026;tnfp252sta|tncf00300b;2;0
centro formazione professionale enaip - ossana;settore servizi;tnfp252sta;school;via di s antonio - ossana, 1 38026;tnfp252sta|tncf00300b;2;0
centro formazione professionale enaip - primiero;;;institute;via forno - transacqua, 12 38054;tnfp253sta;2;1
