school;address;municipality;telephone;institute email;miur code;vivoscuola institute link;wikipedia municipality link;vivoscuola school link
associazione r. steiner - primaria;via conci, 86 38123;trento;0461930658;associazione@pec.scuolasteiner-trento.it;tn1e00900d;https://www.vivoscuola.it/content/view/full/29224;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29225
associazione r. steiner - secondaria i grado;via conci, 86 38123;trento;0461930658;associazione@pec.scuolasteiner-trento.it;tn1m007003;https://www.vivoscuola.it/content/view/full/29224;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29226
"liceo delle scienze umane ""scuola steiner"" trento";via conci - trento, 86 38123;trento;0461930658;associazione@pec.scuolasteiner-trento.it;tnpmts5005;https://www.vivoscuola.it/content/view/full/29224;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/148606
asilo colle fiorito;via stazione mori, 10 38068;rovereto;0464434899;;;https://www.vivoscuola.it/content/view/full/29227;https://it.wikipedia.org/wiki/Rovereto;https://www.vivoscuola.it/content/view/full/29228
capes - settore industria e artigianato;via grazioli, 2 38122;trento;0461260454;canossatrento@pec.it;tncf009001;https://www.vivoscuola.it/content/view/full/29246;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/170191
settore industria e artigianato;via grazioli, 2 38122;trento;0461260454;canossatrento@pec.it;tncf009001;https://www.vivoscuola.it/content/view/full/29246;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29247
capes - settore industria e artigianato;via gazzoletti - mogno, 8 38062;arco;0464516465;cfp.arco@pec.it;tncf00100q;https://www.vivoscuola.it/content/view/full/29248;https://it.wikipedia.org/wiki/Arco_(Italia);https://www.vivoscuola.it/content/view/full/170192
settore industria e artigianato;via gazzoletti, 8 38062;arco;0464516465;cfp.arco@pec.it;tnfp249sta;https://www.vivoscuola.it/content/view/full/29248;https://it.wikipedia.org/wiki/Arco_(Italia);https://www.vivoscuola.it/content/view/full/29249
capes - settore industria e artigianato;via giamaolle, 15 38051;borgo valsugana;0461753037;cfp.borgo@pec.it;tncf00200g;https://www.vivoscuola.it/content/view/full/29250;https://it.wikipedia.org/wiki/Borgo_Valsugana;https://www.vivoscuola.it/content/view/full/170193
settore industria e artigianato;via giamaolle, 15 38051;borgo valsugana;0461753037;cfp.borgo@pec.it;tnfp250sta;https://www.vivoscuola.it/content/view/full/29250;https://it.wikipedia.org/wiki/Borgo_Valsugana;https://www.vivoscuola.it/content/view/full/29251
settore industria e artigianato;via mitterer, 10 38023;cles;0463421362;cfp.cles@pec.it;tnfp251sta;https://www.vivoscuola.it/content/view/full/29253;https://it.wikipedia.org/wiki/Cles;https://www.vivoscuola.it/content/view/full/29254
capes - settore servizi;via di s antonio - ossana, 1 38026;ossana;0463751102;cfp.ossana@pec.it;tncf00300b;https://www.vivoscuola.it/content/view/full/29255;https://it.wikipedia.org/wiki/Ossana;https://www.vivoscuola.it/content/view/full/170194
settore servizi;via di s antonio - ossana, 1 38026;ossana;0463751102;cfp.ossana@pec.it;tnfp252sta;https://www.vivoscuola.it/content/view/full/29255;https://it.wikipedia.org/wiki/Ossana;https://www.vivoscuola.it/content/view/full/29256
settore industria e artigianato;via forno - transacqua, 12 38054;primiero san martino di castrozza;0439762057;cfp.primiero@pec.it;tnfp253sta;https://www.vivoscuola.it/content/view/full/29285;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza;https://www.vivoscuola.it/content/view/full/29286
settore servizi;via forno - transacqua, 12 38054;primiero san martino di castrozza;0439762057;cfp.primiero@pec.it;tnfp253sta;https://www.vivoscuola.it/content/view/full/29285;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza;https://www.vivoscuola.it/content/view/full/29287
