vivoscuola school link;academic year;school year;number of students;number of classes
https://www.vivoscuola.it/content/view/full/170199;2025/2026;5;40;2
https://www.vivoscuola.it/content/view/full/170199;2024/2025;5;26;1
https://www.vivoscuola.it/content/view/full/29266;2025/2026;1;173;8
https://www.vivoscuola.it/content/view/full/29266;2025/2026;2;159;9
https://www.vivoscuola.it/content/view/full/29266;2025/2026;3;134;9
https://www.vivoscuola.it/content/view/full/29266;2025/2026;4;62;6
https://www.vivoscuola.it/content/view/full/29266;2024/2025;1;210;9
https://www.vivoscuola.it/content/view/full/29266;2024/2025;2;162;9
https://www.vivoscuola.it/content/view/full/29266;2024/2025;3;115;7
https://www.vivoscuola.it/content/view/full/29266;2024/2025;4;76;6
https://www.vivoscuola.it/content/view/full/29266;2023/2024;1;176;8
https://www.vivoscuola.it/content/view/full/29266;2023/2024;2;158;9
https://www.vivoscuola.it/content/view/full/29266;2023/2024;3;130;9
https://www.vivoscuola.it/content/view/full/29266;2023/2024;4;64;4
https://www.vivoscuola.it/content/view/full/29266;2023/2024;5;23;1
https://www.vivoscuola.it/content/view/full/29267;2025/2026;2;43;4
https://www.vivoscuola.it/content/view/full/29267;2025/2026;3;27;4
https://www.vivoscuola.it/content/view/full/29267;2025/2026;2;43;4
https://www.vivoscuola.it/content/view/full/29267;2025/2026;3;27;4
https://www.vivoscuola.it/content/view/full/29267;2024/2025;2;43;4
https://www.vivoscuola.it/content/view/full/29267;2024/2025;3;22;4
https://www.vivoscuola.it/content/view/full/29267;2024/2025;2;43;4
https://www.vivoscuola.it/content/view/full/29267;2024/2025;3;22;4
https://www.vivoscuola.it/content/view/full/29267;2023/2024;2;17;1
https://www.vivoscuola.it/content/view/full/29267;2023/2024;3;5;1
https://www.vivoscuola.it/content/view/full/29267;2023/2024;2;10;1
https://www.vivoscuola.it/content/view/full/29267;2023/2024;3;23;2
https://www.vivoscuola.it/content/view/full/29267;2023/2024;2;41;4
https://www.vivoscuola.it/content/view/full/29267;2023/2024;3;28;3
https://www.vivoscuola.it/content/view/full/29632;2025/2026;1;43;2
https://www.vivoscuola.it/content/view/full/29632;2025/2026;2;31;2
https://www.vivoscuola.it/content/view/full/29632;2025/2026;3;45;2
https://www.vivoscuola.it/content/view/full/29632;2025/2026;4;51;3
https://www.vivoscuola.it/content/view/full/29632;2025/2026;5;40;2
https://www.vivoscuola.it/content/view/full/29632;2024/2025;1;33;2
https://www.vivoscuola.it/content/view/full/29632;2024/2025;2;46;2
https://www.vivoscuola.it/content/view/full/29632;2024/2025;3;52;3
https://www.vivoscuola.it/content/view/full/29632;2024/2025;4;41;2
https://www.vivoscuola.it/content/view/full/29632;2024/2025;5;47;3
https://www.vivoscuola.it/content/view/full/29632;2023/2024;1;47;2
https://www.vivoscuola.it/content/view/full/29632;2023/2024;2;48;3
https://www.vivoscuola.it/content/view/full/29632;2023/2024;3;41;2
https://www.vivoscuola.it/content/view/full/29632;2023/2024;4;47;3
https://www.vivoscuola.it/content/view/full/29632;2023/2024;5;41;3
https://www.vivoscuola.it/content/view/full/29635;2025/2026;1;99;5
https://www.vivoscuola.it/content/view/full/29635;2025/2026;2;102;5
https://www.vivoscuola.it/content/view/full/29635;2025/2026;3;127;6
https://www.vivoscuola.it/content/view/full/29635;2024/2025;1;104;5
https://www.vivoscuola.it/content/view/full/29635;2024/2025;2;124;6
https://www.vivoscuola.it/content/view/full/29635;2024/2025;3;106;5
https://www.vivoscuola.it/content/view/full/29635;2023/2024;1;124;6
https://www.vivoscuola.it/content/view/full/29635;2023/2024;2;105;5
https://www.vivoscuola.it/content/view/full/29635;2023/2024;3;97;5
https://www.vivoscuola.it/content/view/full/29633;2025/2026;1;38;2
https://www.vivoscuola.it/content/view/full/29633;2025/2026;2;45;2
https://www.vivoscuola.it/content/view/full/29633;2025/2026;3;38;2
https://www.vivoscuola.it/content/view/full/29633;2025/2026;4;39;2
https://www.vivoscuola.it/content/view/full/29633;2025/2026;5;43;2
https://www.vivoscuola.it/content/view/full/29633;2024/2025;1;45;2
https://www.vivoscuola.it/content/view/full/29633;2024/2025;2;37;2
https://www.vivoscuola.it/content/view/full/29633;2024/2025;3;41;2
https://www.vivoscuola.it/content/view/full/29633;2024/2025;4;43;2
https://www.vivoscuola.it/content/view/full/29633;2024/2025;5;44;2
https://www.vivoscuola.it/content/view/full/29633;2023/2024;1;38;2
https://www.vivoscuola.it/content/view/full/29633;2023/2024;2;45;2
https://www.vivoscuola.it/content/view/full/29633;2023/2024;3;46;2
https://www.vivoscuola.it/content/view/full/29633;2023/2024;4;45;2
https://www.vivoscuola.it/content/view/full/29633;2023/2024;5;50;2
https://www.vivoscuola.it/content/view/full/29512;2025/2026;1;16;1
https://www.vivoscuola.it/content/view/full/29512;2025/2026;2;10;1
https://www.vivoscuola.it/content/view/full/29512;2025/2026;3;8;1
https://www.vivoscuola.it/content/view/full/29512;2025/2026;4;11;1
https://www.vivoscuola.it/content/view/full/29512;2025/2026;5;19;1
https://www.vivoscuola.it/content/view/full/29512;2024/2025;1;12;1
https://www.vivoscuola.it/content/view/full/29512;2024/2025;2;8;1
https://www.vivoscuola.it/content/view/full/29512;2024/2025;3;11;1
https://www.vivoscuola.it/content/view/full/29512;2024/2025;4;19;1
https://www.vivoscuola.it/content/view/full/29512;2024/2025;5;15;1
https://www.vivoscuola.it/content/view/full/29512;2023/2024;1;8;1
https://www.vivoscuola.it/content/view/full/29512;2023/2024;2;11;1
https://www.vivoscuola.it/content/view/full/29512;2023/2024;3;19;1
https://www.vivoscuola.it/content/view/full/29512;2023/2024;4;13;1
https://www.vivoscuola.it/content/view/full/29512;2023/2024;5;12;1
https://www.vivoscuola.it/content/view/full/29634;2025/2026;1;18;1
https://www.vivoscuola.it/content/view/full/29634;2025/2026;2;15;1
https://www.vivoscuola.it/content/view/full/29634;2025/2026;3;12;1
https://www.vivoscuola.it/content/view/full/29634;2025/2026;4;16;1
