"Istituto Principale";Scuola;"Tipo Istituto";"Tipo Gestione";Dirigente;Direttore;"Coordinatore Pedagogico";Indirizzo;Comune;Telefono;Fax;"Email istituto";"Email dirigenza";"Email segreteria";"Sito web";"Codice MIUR"
"Centro Formazione Professionale ENAIP - Tesero";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;;"Dino Moser";;"Via Caltrezza, 13 38038";TESERO;0462/813133;0462/813145;cfp.tesero@pec.it;;cfp.tesero@enaip.tn.it;https://tesero.enaiptrentino.it/;TNFP254STA
"Centro Formazione Professionale ENAIP - Tesero";"SETTORE SERVIZI";;Paritaria/equiparata;;"Dino Moser";;"Via Caltrezza, 13 38038";TESERO;0462/813133;0462/813145;cfp.tesero@pec.it;;cfp.tesero@enaip.tn.it;https://tesero.enaiptrentino.it/;TNFP254STA
"Centro Formazione Professionale ENAIP - Primiero";"SETTORE SERVIZI";;Paritaria/equiparata;;"Fausto Eccher";;"Via Forno - Transacqua, 12 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439/762057;0439/762833;cfp.primiero@pec.it;;cfp.primiero@enaip.tn.it;https://primiero.enaiptrentino.it/;TNFP253STA
"Centro Formazione Professionale ENAIP - Villazzano";"SETTORE INDUSTRIA E ARTIGIANATO SERALE";;Paritaria/equiparata;;"Paola Coccia";;"Via Asiago, 14 38123";TRENTO;0461/920386;0461/914935;cfp.villazzano@pec.it;;cfp.villazzano@enaip.tn.it;https://villazzano.enaiptrentino.it/;
"Centro Formazione Professionale Opera Armida Barelli - Levico";"SETTORE SERVIZI";;Paritaria/equiparata;"BERNARDO ZANONER";"MICHELE LINARDI";;"Viale Roma, 61 38056";"LEVICO TERME";0461/706145;0461/701940;cfplevico@pec.operaarmidabarelli.org;;cfplevico@operaarmidabarelli.org;https://www.operaarmidabarelli.org;TNFP272STA
"SOCIETA' COOPERATIVA A R.L. ""I. DE CARNERI"" OXFORD CIVEZZANO";"SETTORE SERVIZI";;Paritaria/equiparata;"GIOVANNI SCALFI";"CLAUDIO MARCH";;"Via Murialdo, 30 38045";CIVEZZANO;0461/857003;0461/857284;oxford@pec.cooperazionetrentina.it;;info@istitutodecarneri.it;https://www.istitutodecarneri.it;TNFP269STA
"Centro Formazione Professionale ENAIP - Cles";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;;"Luca Branz";;"Via Mitterer, 10 38023";CLES;0463/421362;0463/421606;cfp.cles@pec.it;;cfp.cles@enaip.tn.it;https://cles.enaiptrentino.it/;TNFP251STA
"Centro Formazione Professionale UPT - Cles";"SETTORE SERVIZI";;Paritaria/equiparata;;"WALTER IORI";;"Via D Agostin, 2 38023";CLES;0463/422820;0463/424409;cfp-upt@pec.it;;segreteria.cles@cfp-upt.it;https://www.cfp-upt.it;TNFP262STA
"Centro Formazione Professionale UPT - Tione di Trento";"SETTORE SERVIZI";;Paritaria/equiparata;;"MAURIZIO CADONNA ";;"Via Roma, 15 38079";"TIONE DI TRENTO";0465/321889;0465/324518;cfp-upt@pec.it;;segreteria.tione@cfp-upt.it;https://www.cfp-upt.it;TNFP263STA
"Centro Formazione Professionale ENAIP - Primiero";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;;"Fausto Eccher";;"Via Forno - Transacqua, 12 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439/762057;0439/762833;cfp.primiero@pec.it;;cfp.primiero@enaip.tn.it;https://primiero.enaiptrentino.it/;TNFP253STA
