"Istituto Principale";Scuola;"Tipo Istituto";"Tipo Gestione";Dirigente;Direttore;"Coordinatore Pedagogico";Indirizzo;Comune;Telefono;Fax;"Email istituto";"Email dirigenza";"Email segreteria";"Sito web";"Codice MIUR"
"ISTITUTO COMPRENSIVO BORGO VALSUGANA";"SCUOLA PRIMARIA ""RITA LEVI MONTALCINI"" BORGO VALSUGANA";;"A carattere statale/provinciale";"LUIGI VITULLO";;;"Via Temanza, 13/C 38051";"BORGO VALSUGANA";0461/753179;0461/754131;ic.borgovalsugana@pec.provincia.tn.it;dir.ic.borgovalsugana@scuole.provincia.tn.it;segr.ic.borgovalsugana@scuole.provincia.tn.it;http://www.icborgovalsugana.edu.it/;TNEE812046
"ISTITUTO COMPRENSIVO BORGO VALSUGANA";"SCUOLA PRIMARIA GRIGNO";;"A carattere statale/provinciale";"LUIGI VITULLO";;;"Viale Trento, 2 38055";GRIGNO;0461/753179;0461/754131;ic.borgovalsugana@pec.provincia.tn.it;dir.ic.borgovalsugana@scuole.provincia.tn.it;segr.ic.borgovalsugana@scuole.provincia.tn.it;http://www.icborgovalsugana.edu.it/;TNEE812024
"ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO";"ASSOCIAZIONE R. STEINER - PRIMARIA";;Paritaria/equiparata;"Carlo Musio";;;"Via Conci, 86 38123";TRENTO;0461/930658;;associazione@pec.scuolasteiner-trento.it;;segreteria@scuolasteiner-trento.it;https://www.scuolasteiner-trento.it;TN1E00900D
"SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA";"SCUOLA PRIMARIA ""G. RIZZI"" CANAZEI";;"A carattere statale/provinciale";"FEDERICO CORRADINI";;;"Via de Magoa, 15 38032";"CANAZEI - CIANACEI";0462/763702;0462/760001;scuolaladinadifassa@pec.provincia.tn.it;dir.scuolaladinadifassa@scuole.provincia.tn.it;segr.scuolaladinadifassa@scuole.provincia.tn.it;https://www.scuolaladina.com/;TNEE85001T
"SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA";"SCUOLA PRIMARIA ""PADRE E. CHIOCCHETTI"" MOENA";;"A carattere statale/provinciale";"FEDERICO CORRADINI";;;"Strada don Giovanni Iori, 19 38035";"MOENA - MOENA";0462/763702;0462/760001;scuolaladinadifassa@pec.provincia.tn.it;dir.scuolaladinadifassa@scuole.provincia.tn.it;segr.scuolaladinadifassa@scuole.provincia.tn.it;https://www.scuolaladina.com/;TNEE85002V
"SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA";"SCUOLA PRIMARIA ""DON G. B. MASSAR"" VIGO DI FASSA";;"A carattere statale/provinciale";"FEDERICO CORRADINI";;;"Piaz Jan Batista Massar - Vigo di Fassa, 14 38039";"SAN GIOVANNI DI FASSA - SEN JAN";0462/763702;0462/760001;scuolaladinadifassa@pec.provincia.tn.it;dir.scuolaladinadifassa@scuole.provincia.tn.it;segr.scuolaladinadifassa@scuole.provincia.tn.it;https://www.scuolaladina.com/;TNEE850063
"SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA";"SCUOLA PRIMARIA ""DON L. GROSS"" POZZA DI FASSA";;"A carattere statale/provinciale";"FEDERICO CORRADINI";;;"Strada De Bagnes - Pozza di Fassa, 10 38036";"SAN GIOVANNI DI FASSA - SEN JAN";0462/763702;0462/760001;scuolaladinadifassa@pec.provincia.tn.it;dir.scuolaladinadifassa@scuole.provincia.tn.it;segr.scuolaladinadifassa@scuole.provincia.tn.it;https://www.scuolaladina.com/;TNEE85003X
"ISTITUTO COMPRENSIVO VILLA LAGARINA";;"Istituzione scolastica e formativa";"A carattere statale/provinciale";"TIZIANA CHEMOTTI";;;"Via Stockstadt Am Rhein, 3 38060";"VILLA LAGARINA";0464/411312;0464/411705;ic.villalagarina@pec.provincia.tn.it;dir.ic.villalagarina@scuole.provincia.tn.it;segr.ic.villalagarina@scuole.provincia.tn.it;https://www.icvillalagarina.it;TNIC846004
"ISTITUTO COMPRENSIVO MORI";"SCUOLA PRIMARIA MORI";;"A carattere statale/provinciale";"MASSIMILIANO LATINO";;;"Via Scuole, 21 38065";MORI;0464/918669;;ic.mori@pec.provincia.tn.it;dir.ic.mori@scuole.provincia.tn.it;segr.ic.mori@scuole.provincia.tn.it;https://www.icmori.it/;TNEE84901N
"ISTITUTO COMPRENSIVO CAVALESE";"SCUOLA PRIMARIA CASTELLO DI FIEMME";;"A carattere statale/provinciale";"ROBERTO TROLLI";;;"Via Roma, 40 38030";"CASTELLO-MOLINA DI FIEMME";0462/340314;0462/342294;ic.cavalese@pec.provincia.tn.it;dir.cavalese@scuole.provincia.tn.it;segr.cavalese@scuole.provincia.tn.it;https://www.iccavalese.it;TNEE809039
