istituto principale;scuola;tipo istituto;tipo gestione;dirigente;direttore;coordinatore pedagogico;indirizzo;comune;telefono;fax;email istituto;email dirigenza;email segreteria;sito web;codice miur
associazione rudolf steiner per la pedagogia aps - rovereto;asilo colle fiorito;;paritaria/equiparata;;;;via stazione mori, 10 38068;rovereto;0464 434899;;;;;;
circolo di coordinamento n. 4;"scuola dell'infanzia di cimone ""mamma teresa""";;a carattere statale/provinciale;;;rita ferenzena;frazione petrolli, 37 38060;cimone;0461/855216;0461/496950;scuolainfanzia.cimone@scuole.provincia.tn.it;;circolo.coordinamento04@provincia.tn.it;;
circolo di coordinamento n. 4;"scuola dell'infanzia di trento  ""torrione""";;a carattere statale/provinciale;;;rita ferenzena;via al torrione, 10 38122;trento;0461/232554;0461/496950;scuolainfanzia.torrione@scuole.provincia.tn.it;;circolo.coordinamento04@provincia.tn.it;;
circolo di coordinamento n. 4;"scuola dell'infanzia di trento  mattarello  ""il castello""";;a carattere statale/provinciale;;;rita ferenzena;via del castel, 1/a 38123;trento;0461/945095;0461/496950;scuolainfanzia.mattarello@scuole.provincia.tn.it;;circolo.coordinamento04@provincia.tn.it;;
scuola dell'infanzia di vigo di fassa;scuola dell'infanzia di vigo di fassa;;paritaria/equiparata;;;sara de zolt;strada giuseppe soraperra - pozza di fassa, 4 38036;san giovanni di fassa - sen jan;0462-763194;;vigo.fassa.presidente@fpsm.tn.it;;vigo.fassa.segretario@fpsm.tn.it;;
scuola dell'infanzia di vigo di ton;;scuola dell'infanzia;paritaria/equiparata;;;elena ricci;piazza guardi, 7 38010;ton;0461-657897;;vigo.ton.segretario@fpsm.tn.it;;vigo.ton.segretario@fpsm.tn.it;;
scuola dell'infanzia di vigo di ton;scuola dell'infanzia di vigo di ton;;paritaria/equiparata;;;elena ricci;piazza guardi, 7 38010;ton;0461-657897;;vigo.ton.segretario@fpsm.tn.it;;vigo.ton.segretario@fpsm.tn.it;;
scuola dell'infanzia di villamontagna;;scuola dell'infanzia;paritaria/equiparata;;;carmen fattori;via dei carli, 16 38121;trento;0461-209045;;villamontagna.segretario@fpsm.tn.it;;villamontagna.segretario@fpsm.tn.it;;
scuola dell'infanzia di villamontagna;scuola dell'infanzia di villamontagna;;paritaria/equiparata;;;carmen fattori;via dei carli, 16 38121;trento;0461-209045;;villamontagna.segretario@fpsm.tn.it;;villamontagna.segretario@fpsm.tn.it;;
scuola dell'infanzia di villazzano;;scuola dell'infanzia;paritaria/equiparata;;;ivana leonardelli;via giordano, 15 38123;trento;0461-920382;;villazzano.segretario@fpsm.tn.it;;villazzano.segretario@fpsm.tn.it;;
