id;main institute;school;institute type;administration type;manager;director;educational coordinator;address;municipality;telephone;fax;institute email;management email;secretary's office email;website;miur code;vivoscuola institute link;entity;wikipedia municipality link;vivoscuola school link
0;associazione pedagogica steineriana - trento;;istituzione scolastica e formativa;paritaria/equiparata;carlo musio;;;via conci, 86 38123;trento;0461930658;;associazione@pec.scuolasteiner-trento.it;;segreteria@scuolasteiner-trento.it;https://www.scuolasteiner-trento.it;;https://www.vivoscuola.it/content/view/full/29224;institute;https://it.wikipedia.org/wiki/Trento;
1;associazione pedagogica steineriana - trento;associazione r. steiner - primaria;;paritaria/equiparata;carlo musio;;;via conci, 86 38123;trento;0461930658;;associazione@pec.scuolasteiner-trento.it;;segreteria@scuolasteiner-trento.it;https://www.scuolasteiner-trento.it;tn1e00900d;https://www.vivoscuola.it/content/view/full/29224;school;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29225
2;associazione pedagogica steineriana - trento;associazione r. steiner - secondaria i grado;;paritaria/equiparata;carlo musio;;;via conci, 86 38123;trento;0461930658;;associazione@pec.scuolasteiner-trento.it;;segreteria@scuolasteiner-trento.it;https://www.scuolasteiner-trento.it;tn1m007003;https://www.vivoscuola.it/content/view/full/29224;school;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29226
3;associazione pedagogica steineriana - trento;"liceo delle scienze umane ""scuola steiner"" trento";;paritaria/equiparata;carlo musio;;;via conci - trento, 86 38123;trento;0461930658;;associazione@pec.scuolasteiner-trento.it;;segreteria@scuolasteiner-trento.it;https://www.scuolasteiner-trento.it;tnpmts5005;https://www.vivoscuola.it/content/view/full/29224;school;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/148606
4;associazione rudolf steiner per la pedagogia aps - rovereto;;scuola dell'infanzia;paritaria/equiparata;;;;via stazione mori, 10 38068;rovereto;;;;;;;;https://www.vivoscuola.it/content/view/full/29227;institute;https://it.wikipedia.org/wiki/Rovereto;
5;associazione rudolf steiner per la pedagogia aps - rovereto;asilo colle fiorito;;paritaria/equiparata;;;;via stazione mori, 10 38068;rovereto;0464434899;;;;;;;https://www.vivoscuola.it/content/view/full/29227;school;https://it.wikipedia.org/wiki/Rovereto;https://www.vivoscuola.it/content/view/full/29228
6;"centro formazione professionale ""centromoda canossa"" ";;istituzione scolastica e formativa;paritaria/equiparata;;michele filippini;;via grazioli, 2 38122;trento;0461260454;0461/267864;canossatrento@pec.it;direzione@centromoda.tn.it;didattica@centromoda.tn.it;https://www.centromoda.tn.it;;https://www.vivoscuola.it/content/view/full/29246;institute;https://it.wikipedia.org/wiki/Trento;
7;"centro formazione professionale ""centromoda canossa"" ";capes - settore industria e artigianato;;paritaria/equiparata;;michele filippini;;via grazioli, 2 38122;trento;0461260454;0461/267864;canossatrento@pec.it;direzione@centromoda.tn.it;didattica@centromoda.tn.it;https://www.centromoda.tn.it;tncf009001;https://www.vivoscuola.it/content/view/full/29246;school;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/170191
8;"centro formazione professionale ""centromoda canossa"" ";settore industria e artigianato;;paritaria/equiparata;;michele filippini;;via grazioli, 2 38122;trento;0461260454;0461/267864;canossatrento@pec.it;direzione@centromoda.tn.it;didattica@centromoda.tn.it;https://www.centromoda.tn.it;tncf009001;https://www.vivoscuola.it/content/view/full/29246;school;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29247
9;centro formazione professionale enaip - arco;;istituzione scolastica e formativa;paritaria/equiparata;;diego freo;;via gazzoletti, 8 38062;arco;0464516465;0464/516497;cfp.arco@pec.it;;cfp.arco@enaip.tn.it;https://arco.enaiptrentino.it;;https://www.vivoscuola.it/content/view/full/29248;institute;https://it.wikipedia.org/wiki/Arco_(Italia);
10;centro formazione professionale enaip - arco;capes - settore industria e artigianato;;paritaria/equiparata;;diego freo;;via gazzoletti - mogno, 8 38062;arco;0464516465;0464/516497;cfp.arco@pec.it;;cfp.arco@enaip.tn.it;https://arco.enaiptrentino.it;tncf00100q;https://www.vivoscuola.it/content/view/full/29248;school;https://it.wikipedia.org/wiki/Arco_(Italia);https://www.vivoscuola.it/content/view/full/170192
11;centro formazione professionale enaip - arco;settore industria e artigianato;;paritaria/equiparata;;diego freo;;via gazzoletti, 8 38062;arco;0464516465;0464/516497;cfp.arco@pec.it;;cfp.arco@enaip.tn.it;https://arco.enaiptrentino.it;tnfp249sta;https://www.vivoscuola.it/content/view/full/29248;school;https://it.wikipedia.org/wiki/Arco_(Italia);https://www.vivoscuola.it/content/view/full/29249
12;centro formazione professionale enaip - borgo valsugana;;istituzione scolastica e formativa;paritaria/equiparata;;francesco micheletti;;via giamaolle, 15 38051;borgo valsugana;0461753037;0461/752070;cfp.borgo@pec.it;;cfp.borgo@enaip.tn.it;https://borgo.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29250;institute;https://it.wikipedia.org/wiki/Borgo_Valsugana;
13;centro formazione professionale enaip - borgo valsugana;capes - settore industria e artigianato;;paritaria/equiparata;;francesco micheletti;;via giamaolle, 15 38051;borgo valsugana;0461753037;0461/752070;cfp.borgo@pec.it;;cfp.borgo@enaip.tn.it;https://borgo.enaiptrentino.it/;tncf00200g;https://www.vivoscuola.it/content/view/full/29250;school;https://it.wikipedia.org/wiki/Borgo_Valsugana;https://www.vivoscuola.it/content/view/full/170193
14;centro formazione professionale enaip - borgo valsugana;settore industria e artigianato;;paritaria/equiparata;;francesco micheletti;;via giamaolle, 15 38051;borgo valsugana;0461753037;0461/752070;cfp.borgo@pec.it;;cfp.borgo@enaip.tn.it;https://borgo.enaiptrentino.it/;tnfp250sta;https://www.vivoscuola.it/content/view/full/29250;school;https://it.wikipedia.org/wiki/Borgo_Valsugana;https://www.vivoscuola.it/content/view/full/29251
15;centro formazione professionale enaip - cles;;istituzione scolastica e formativa;paritaria/equiparata;;luca branz;;via mitterer, 10 38023;cles;0463421362;0463/421606;cfp.cles@pec.it;;cfp.cles@enaip.tn.it;https://cles.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29253;institute;https://it.wikipedia.org/wiki/Cles;
16;centro formazione professionale enaip - cles;settore industria e artigianato;;paritaria/equiparata;;luca branz;;via mitterer, 10 38023;cles;0463421362;0463/421606;cfp.cles@pec.it;;cfp.cles@enaip.tn.it;https://cles.enaiptrentino.it/;tnfp251sta;https://www.vivoscuola.it/content/view/full/29253;school;https://it.wikipedia.org/wiki/Cles;https://www.vivoscuola.it/content/view/full/29254
17;centro formazione professionale enaip - ossana;;istituzione scolastica e formativa;paritaria/equiparata;;claudia gosetti;;via di s antonio - ossana, 1 38026;ossana;0463751102;0463/751987;cfp.ossana@pec.it;;cfp.ossana@enaip.tn.it;https://ossana.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29255;institute;https://it.wikipedia.org/wiki/Ossana;
18;centro formazione professionale enaip - ossana;capes - settore servizi;;paritaria/equiparata;;claudia gosetti;;via di s antonio - ossana, 1 38026;ossana;0463751102;0463/751987;cfp.ossana@pec.it;;cfp.ossana@enaip.tn.it;https://ossana.enaiptrentino.it/;tncf00300b;https://www.vivoscuola.it/content/view/full/29255;school;https://it.wikipedia.org/wiki/Ossana;https://www.vivoscuola.it/content/view/full/170194
19;centro formazione professionale enaip - ossana;settore servizi;;paritaria/equiparata;;claudia gosetti;;via di s antonio - ossana, 1 38026;ossana;0463751102;0463/751987;cfp.ossana@pec.it;;cfp.ossana@enaip.tn.it;https://ossana.enaiptrentino.it/;tnfp252sta;https://www.vivoscuola.it/content/view/full/29255;school;https://it.wikipedia.org/wiki/Ossana;https://www.vivoscuola.it/content/view/full/29256
20;centro formazione professionale enaip - primiero;;istituzione scolastica e formativa;paritaria/equiparata;;fausto eccher;;via forno - transacqua, 12 38054;primiero san martino di castrozza;0439762057;0439/762833;cfp.primiero@pec.it;;cfp.primiero@enaip.tn.it;https://primiero.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29285;institute;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza;
21;centro formazione professionale enaip - primiero;settore industria e artigianato;;paritaria/equiparata;;fausto eccher;;via forno - transacqua, 12 38054;primiero san martino di castrozza;0439762057;0439/762833;cfp.primiero@pec.it;;cfp.primiero@enaip.tn.it;https://primiero.enaiptrentino.it/;tnfp253sta;https://www.vivoscuola.it/content/view/full/29285;school;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza;https://www.vivoscuola.it/content/view/full/29286
22;centro formazione professionale enaip - primiero;settore servizi;;paritaria/equiparata;;fausto eccher;;via forno - transacqua, 12 38054;primiero san martino di castrozza;0439762057;0439/762833;cfp.primiero@pec.it;;cfp.primiero@enaip.tn.it;https://primiero.enaiptrentino.it/;tnfp253sta;https://www.vivoscuola.it/content/view/full/29285;school;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza;https://www.vivoscuola.it/content/view/full/29287
23;centro formazione professionale enaip - tesero;;istituzione scolastica e formativa;paritaria/equiparata;;dino moser;;via caltrezza, 13 38038;tesero;0462813133;0462/813145;cfp.tesero@pec.it;;cfp.tesero@enaip.tn.it;https://tesero.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29257;institute;https://it.wikipedia.org/wiki/Tesero;
24;centro formazione professionale enaip - tesero;capes - settore servizi;;paritaria/equiparata;;dino moser;;via caltrezza, 13 38038;tesero;0462813133;0462/813145;cfp.tesero@pec.it;;cfp.tesero@enaip.tn.it;https://tesero.enaiptrentino.it/;tncf004007;https://www.vivoscuola.it/content/view/full/29257;school;https://it.wikipedia.org/wiki/Tesero;https://www.vivoscuola.it/content/view/full/170195
25;centro formazione professionale enaip - tesero;settore industria e artigianato;;paritaria/equiparata;;dino moser;;via caltrezza, 13 38038;tesero;0462813133;0462/813145;cfp.tesero@pec.it;;cfp.tesero@enaip.tn.it;https://tesero.enaiptrentino.it/;tnfp254sta;https://www.vivoscuola.it/content/view/full/29257;school;https://it.wikipedia.org/wiki/Tesero;https://www.vivoscuola.it/content/view/full/29258
26;centro formazione professionale enaip - tesero;settore servizi;;paritaria/equiparata;;dino moser;;via caltrezza, 13 38038;tesero;0462813133;0462/813145;cfp.tesero@pec.it;;cfp.tesero@enaip.tn.it;https://tesero.enaiptrentino.it/;tnfp254sta;https://www.vivoscuola.it/content/view/full/29257;school;https://it.wikipedia.org/wiki/Tesero;https://www.vivoscuola.it/content/view/full/29259
27;centro formazione professionale enaip - tione di trento;;istituzione scolastica e formativa;paritaria/equiparata;;ketty pellizzari;;via durone, 57 38079;tione di trento;0465321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;https://tione.enaiptrentino.it/;tncf001001;https://www.vivoscuola.it/content/view/full/29260;institute;https://it.wikipedia.org/wiki/Tione_di_Trento;
28;centro formazione professionale enaip - tione di trento;capes - settore industria e artigianato;;paritaria/equiparata;;ketty pellizzari;;via durone, 57 38079;tione di trento;0465321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;https://tione.enaiptrentino.it/;tncf001001;https://www.vivoscuola.it/content/view/full/29260;school;https://it.wikipedia.org/wiki/Tione_di_Trento;https://www.vivoscuola.it/content/view/full/170196
29;centro formazione professionale enaip - tione di trento;capes - settore servizi;;paritaria/equiparata;;ketty pellizzari;;via durone, 57 38079;tione di trento;0465321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;https://tione.enaiptrentino.it/;tncf001001;https://www.vivoscuola.it/content/view/full/29260;school;https://it.wikipedia.org/wiki/Tione_di_Trento;https://www.vivoscuola.it/content/view/full/170197
30;centro formazione professionale enaip - tione di trento;settore industria e artigianato;;paritaria/equiparata;;ketty pellizzari;;via durone, 57 38079;tione di trento;0465321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;https://tione.enaiptrentino.it/;tncf001001;https://www.vivoscuola.it/content/view/full/29260;school;https://it.wikipedia.org/wiki/Tione_di_Trento;https://www.vivoscuola.it/content/view/full/29261
31;centro formazione professionale enaip - tione di trento;settore servizi;;paritaria/equiparata;;ketty pellizzari;;via durone, 57 38079;tione di trento;0465321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;https://tione.enaiptrentino.it/;tncf001001;https://www.vivoscuola.it/content/view/full/29260;school;https://it.wikipedia.org/wiki/Tione_di_Trento;https://www.vivoscuola.it/content/view/full/29262
32;centro formazione professionale enaip - varone di riva del garda;;istituzione scolastica e formativa;paritaria/equiparata;;elisabetta filippi;;rione europa, 3 38066;riva del garda;0464521300;0464/521553;cfp.rivadelgarda@pec.it;;cfp.rivadelgarda@enaip.tn.it;https://rivadelgarda.enaiptrentino.it/;tncf007001;https://www.vivoscuola.it/content/view/full/29263;institute;https://it.wikipedia.org/wiki/Riva_del_Garda;
33;centro formazione professionale enaip - varone di riva del garda;capes - settore servizi;;paritaria/equiparata;;elisabetta filippi;;rione europa, 3 38066;riva del garda;0464521300;0464/521553;cfp.rivadelgarda@pec.it;;cfp.rivadelgarda@enaip.tn.it;https://rivadelgarda.enaiptrentino.it/;tncf007001;https://www.vivoscuola.it/content/view/full/29263;school;https://it.wikipedia.org/wiki/Riva_del_Garda;https://www.vivoscuola.it/content/view/full/170198
34;centro formazione professionale enaip - varone di riva del garda;settore servizi;;paritaria/equiparata;;elisabetta filippi;;rione europa, 3 38066;riva del garda;0464521300;0464/521553;cfp.rivadelgarda@pec.it;;cfp.rivadelgarda@enaip.tn.it;https://rivadelgarda.enaiptrentino.it/;tncf007001;https://www.vivoscuola.it/content/view/full/29263;school;https://it.wikipedia.org/wiki/Riva_del_Garda;https://www.vivoscuola.it/content/view/full/29264
35;centro formazione professionale enaip - villazzano;;istituzione scolastica e formativa;paritaria/equiparata;;paola coccia;;via asiago, 14 38123;trento;0461920386;0461/914935;cfp.villazzano@pec.it;;cfp.villazzano@enaip.tn.it;https://villazzano.enaiptrentino.it/;tncf008001;https://www.vivoscuola.it/content/view/full/29265;institute;https://it.wikipedia.org/wiki/Trento;
36;centro formazione professionale enaip - villazzano;capes - settore industria e artigianato;;paritaria/equiparata;;paola coccia;;via asiago, 14 38123;trento;0461920386;0461/914935;cfp.villazzano@pec.it;;cfp.villazzano@enaip.tn.it;https://villazzano.enaiptrentino.it/;tncf008001;https://www.vivoscuola.it/content/view/full/29265;school;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/170199
37;centro formazione professionale enaip - villazzano;settore industria e artigianato;;paritaria/equiparata;;paola coccia;;via asiago, 14 38123;trento;0461920386;0461/914935;cfp.villazzano@pec.it;;cfp.villazzano@enaip.tn.it;https://villazzano.enaiptrentino.it/;tncf008001;https://www.vivoscuola.it/content/view/full/29265;school;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29266
38;centro formazione professionale enaip - villazzano;settore industria e artigianato serale;;paritaria/equiparata;;paola coccia;;via asiago, 14 38123;trento;0461920386;0461/914935;cfp.villazzano@pec.it;;cfp.villazzano@enaip.tn.it;https://villazzano.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29265;school;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29267
39;centro formazione professionale opera armida barelli - levico;;istituzione scolastica e formativa;paritaria/equiparata;bernardo zanoner;michele linardi;;viale roma, 61 38056;levico terme;0461706145;0461/701940;cfplevico@pec.operaarmidabarelli.org;;cfplevico@operaarmidabarelli.org;https://www.operaarmidabarelli.org;;https://www.vivoscuola.it/content/view/full/29268;institute;https://it.wikipedia.org/wiki/Levico_Terme;
40;centro formazione professionale opera armida barelli - levico;settore servizi;;paritaria/equiparata;bernardo zanoner;michele linardi;;viale roma, 61 38056;levico terme;0461706145;0461/701940;cfplevico@pec.operaarmidabarelli.org;;cfplevico@operaarmidabarelli.org;https://www.operaarmidabarelli.org;tnfp272sta;https://www.vivoscuola.it/content/view/full/29268;school;https://it.wikipedia.org/wiki/Levico_Terme;https://www.vivoscuola.it/content/view/full/29269
41;centro formazione professionale opera armida barelli - rovereto;;istituzione scolastica e formativa;paritaria/equiparata;bernardo zanoner;camilla cestari;;via setaioli, 5 38068;rovereto;0464433771;0464/431711;cfprovereto@pec.operaarmidabarelli.org;;cfprovereto@operaarmidabarelli.org;https://www.operaarmidabarelli.org;tncf005001;https://www.vivoscuola.it/content/view/full/29270;institute;https://it.wikipedia.org/wiki/Rovereto;
42;centro formazione professionale opera armida barelli - rovereto;capes - settore servizi;;paritaria/equiparata;bernardo zanoner;camilla cestari;;via setaioli, 5 38068;rovereto;0464433771;0464/431711;cfprovereto@pec.operaarmidabarelli.org;;cfprovereto@operaarmidabarelli.org;https://www.operaarmidabarelli.org;tncf005001;https://www.vivoscuola.it/content/view/full/29270;school;https://it.wikipedia.org/wiki/Rovereto;https://www.vivoscuola.it/content/view/full/170200
