index;school
1;25
2;25
3;25
4;25
5;25
6;25
7;25
8;25
9;25
10;25
11;25
12;25
13;25
14;25
15;25
16;26
17;26
18;26
19;26
20;26
21;26
22;26
23;26
24;26
25;26
26;26
27;26
28;27
29;27
30;27
31;27
32;27
33;27
34;27
35;27
36;27
37;340
38;340
39;340
40;340
41;340
42;340
43;340
44;340
45;340
46;340
47;340
48;340
49;340
50;340
51;340
52;343
53;343
54;343
55;343
56;343
57;343
58;343
59;343
60;343
61;341
62;341
63;341
64;341
65;341
66;341
67;341
68;341
69;341
70;341
71;341
72;341
73;341
74;341
75;341
76;242
77;242
78;242
79;242
80;242
81;242
82;242
83;242
84;242
85;242
86;242
87;242
88;242
89;242
90;242
91;342
92;342
93;342
94;342
95;342
96;342
97;342
98;342
99;342
100;342
101;342
102;342
103;342
104;342
105;342
106;244
107;244
108;244
109;244
110;244
111;244
112;244
113;244
114;244
115;244
116;244
117;244
118;244
119;244
120;244
121;246
122;246
123;246
124;246
125;246
126;246
127;246
128;246
129;246
130;243
131;243
132;243
133;243
134;243
135;243
136;243
137;243
138;243
139;243
140;243
141;243
142;243
143;243
144;243
145;245
146;245
147;245
148;245
149;245
150;245
151;245
152;245
153;245
154;245
155;245
156;245
157;245
158;245
159;245
160;247
161;247
162;247
163;247
164;247
165;247
166;247
167;247
168;247
169;405
170;405
171;405
172;405
173;405
174;405
175;405
176;405
177;405
178;405
179;405
180;405
181;405
182;405
183;405
184;408
185;408
186;408
187;408
188;408
189;408
190;408
191;408
192;408
193;404
194;404
195;404
196;404
197;404
198;404
199;404
200;404
201;404
202;404
203;404
204;404
205;404
206;404
207;404
208;406
209;406
210;406
211;406
212;406
213;406
214;406
215;406
216;406
217;406
218;406
219;406
220;406
221;406
222;406
223;407
224;407
225;407
226;407
227;407
228;407
229;407
230;407
231;407
232;407
233;407
234;407
235;407
236;407
237;407
238;311
239;311
240;311
241;311
242;311
243;311
244;311
245;311
246;311
247;311
248;311
249;311
250;311
251;311
252;311
253;308
254;308
255;308
256;308
257;308
258;308
259;308
260;308
261;308
262;308
263;308
264;308
265;308
266;308
267;308
268;310
269;310
270;310
271;310
272;310
273;310
274;310
275;310
276;310
277;310
278;310
279;310
280;310
281;310
282;310
283;309
284;309
285;309
286;309
287;309
288;309
289;309
290;309
291;309
292;309
293;309
294;309
295;309
296;309
297;309
298;312
299;312
300;312
301;312
302;312
303;312
304;312
305;312
306;312
307;312
308;312
309;312
310;312
311;312
312;312
313;314
314;314
315;314
316;314
317;314
318;314
319;314
320;314
321;314
322;313
323;313
324;313
325;313
326;313
327;313
328;313
329;313
330;313
331;313
332;313
333;313
334;313
335;313
336;313
337;316
338;316
339;316
340;316
341;316
342;316
343;316
344;316
345;316
346;315
347;315
348;315
349;315
350;315
351;315
352;315
353;315
354;315
355;456
356;456
357;456
358;456
359;456
360;456
361;456
362;456
363;456
364;570
365;570
366;570
367;570
368;570
369;570
370;570
371;570
372;570
373;570
374;570
375;570
376;570
377;570
378;570
379;457
380;457
381;457
382;457
383;457
384;457
385;457
386;457
387;457
388;457
389;457
390;457
391;457
392;457
393;457
394;459
395;459
396;459
397;459
398;459
399;459
400;459
401;459
402;459
403;459
404;459
405;459
406;459
407;459
408;459
409;460
410;460
411;460
412;460
413;460
414;460
415;460
416;460
417;460
418;460
419;460
420;460
421;460
422;460
423;460
424;458
425;458
426;458
427;458
428;458
429;458
430;458
431;458
432;458
433;458
434;458
435;458
436;458
437;458
438;458
439;461
440;461
441;461
442;461
443;461
444;461
445;461
446;461
447;461
448;461
449;461
450;461
451;461
452;461
453;461
454;462
455;462
456;462
457;462
458;462
459;462
460;462
461;462
462;462
463;462
464;462
465;462
466;462
467;462
468;462
469;464
470;464
471;464
472;464
473;464
474;464
475;464
476;464
477;464
478;464
479;464
480;464
481;464
482;464
483;464
484;463
485;463
486;463
487;463
488;463
489;463
490;463
491;463
492;463
493;463
494;463
495;463
496;463
497;463
498;463
499;41
500;41
501;41
502;41
503;41
504;41
505;41
506;41
507;41
508;41
509;41
510;41
511;40
512;40
513;40
514;40
515;40
516;40
517;40
518;40
519;40
520;40
521;40
522;40
523;40
524;40
525;40
526;554
527;554
528;554
529;554
530;554
531;554
532;554
533;554
534;554
535;554
536;554
537;554
538;554
539;554
540;554
541;552
542;552
543;552
544;552
545;552
546;552
547;552
548;552
549;552
550;556
551;556
552;556
553;556
554;556
555;556
556;556
557;556
558;556
559;556
560;556
561;556
562;556
563;556
564;556
565;555
566;555
567;555
568;555
569;555
570;555
571;555
572;555
573;555
574;555
575;555
576;555
577;555
578;555
579;555
580;420
581;420
582;420
583;420
584;420
585;420
586;420
587;420
588;420
589;420
590;420
591;420
592;420
593;420
594;420
595;421
596;421
597;421
598;421
599;421
600;421
601;421
602;421
603;421
604;421
605;421
606;421
607;421
608;421
609;421
610;422
611;422
612;422
613;422
614;422
615;422
616;422
617;422
618;422
619;422
620;422
621;422
622;422
623;422
624;422
625;419
626;419
627;419
628;419
629;419
630;419
631;419
632;419
633;419
634;419
635;419
636;419
637;419
638;419
639;419
640;423
641;423
642;423
643;423
644;423
645;423
646;423
647;423
648;423
649;423
650;423
651;423
652;423
653;423
654;423
655;424
656;424
657;424
658;424
659;424
660;424
661;424
662;424
663;424
664;424
665;424
666;424
667;424
668;424
669;424
670;425
671;425
672;425
673;425
674;425
675;425
676;425
677;425
678;425
679;425
680;425
681;425
682;425
683;425
684;425
685;428
686;428
687;428
688;428
689;428
690;428
691;428
692;428
693;428
694;393
695;393
696;393
697;393
698;393
699;393
700;393
701;393
702;393
703;393
704;393
705;393
706;393
707;393
708;393
709;429
710;429
711;429
712;429
713;429
714;429
715;429
716;429
717;429
718;427
719;427
720;427
721;427
722;427
723;427
724;427
725;427
726;427
727;394
728;394
729;394
730;394
731;394
732;394
733;394
734;394
735;394
736;394
737;394
738;394
739;394
740;394
741;394
742;396
743;396
744;396
745;396
746;396
747;396
748;396
749;396
750;396
751;395
752;395
753;395
754;395
755;395
756;395
757;395
758;395
759;395
760;395
761;395
762;395
763;395
764;395
765;395
766;213
767;213
768;213
769;213
770;213
771;213
772;213
773;213
774;213
775;213
776;213
777;213
778;213
779;213
780;213
781;214
782;214
783;214
784;214
785;214
786;214
787;214
788;214
789;214
790;295
791;295
792;295
793;295
794;295
795;295
796;295
797;295
798;295
799;295
800;295
801;295
802;295
803;295
804;295
805;294
806;294
807;294
808;294
809;294
810;294
811;294
812;294
813;294
814;294
815;294
816;294
817;294
818;294
819;294
820;296
821;296
822;296
823;296
824;296
825;296
826;296
827;296
828;296
829;296
830;296
831;296
832;296
833;296
834;296
835;297
836;297
837;297
838;297
839;297
840;297
841;297
842;297
843;297
844;518
845;518
846;518
847;518
848;518
849;518
850;518
851;518
852;518
853;518
854;518
855;518
856;518
857;518
858;518
859;519
860;519
861;519
862;519
863;519
864;519
865;519
866;519
867;519
868;154
869;154
870;154
871;154
872;154
873;154
874;154
875;154
876;154
877;154
878;154
879;154
880;154
881;154
882;154
883;156
884;156
885;156
886;156
887;156
888;156
889;156
890;156
891;156
892;275
893;275
894;275
895;275
896;275
897;275
898;275
899;275
900;275
901;275
902;275
903;275
904;275
905;275
906;275
907;155
908;155
909;155
910;155
911;155
912;155
913;155
914;155
915;155
916;155
917;155
918;155
919;155
920;155
921;155
922;276
923;276
924;276
925;276
926;276
927;276
928;276
929;276
930;276
931;276
932;276
933;276
934;276
935;276
936;276
937;280
938;280
939;280
940;280
941;280
942;280
943;280
944;280
945;280
946;280
947;280
948;280
949;280
950;280
951;280
952;277
953;277
954;277
955;277
956;277
957;277
958;277
959;277
960;277
961;277
962;277
963;277
964;277
965;277
966;277
967;279
968;279
969;279
970;279
971;279
972;279
973;279
974;279
975;279
976;279
977;279
978;279
979;279
980;279
981;279
982;278
983;278
984;278
985;278
986;278
987;278
988;278
989;278
990;278
991;278
992;278
993;278
994;278
995;278
996;278
997;281
998;281
999;281
1000;281
1001;281
1002;281
1003;281
1004;281
1005;281
1006;281
1007;281
1008;281
1009;281
1010;281
1011;281
1012;283
1013;283
1014;283
1015;283
1016;283
1017;283
1018;283
1019;283
1020;283
1021;284
1022;284
1023;284
1024;284
1025;284
1026;284
1027;284
1028;284
1029;284
1030;282
1031;282
1032;282
1033;282
1034;282
1035;282
1036;282
1037;282
1038;282
1039;282
1040;282
1041;282
1042;282
1043;282
1044;282
1045;165
1046;165
1047;165
1048;165
1049;165
1050;165
1051;165
1052;165
1053;165
1054;165
1055;165
1056;165
1057;165
1058;165
1059;165
1060;164
1061;164
1062;164
1063;164
1064;164
1065;164
1066;164
1067;164
1068;164
1069;164
1070;164
1071;164
1072;164
1073;164
1074;164
1075;166
1076;166
1077;166
1078;166
1079;166
1080;166
1081;166
1082;166
1083;166
1084;532
1085;532
1086;532
1087;532
1088;532
1089;532
1090;532
1091;532
1092;532
1093;532
1094;532
1095;532
1096;532
1097;532
1098;532
1099;531
1100;531
1101;531
1102;531
1103;531
1104;531
1105;531
1106;531
1107;531
1108;533
1109;533
1110;533
1111;533
1112;533
1113;533
1114;533
1115;533
1116;533
1117;533
1118;533
1119;533
1120;533
1121;533
1122;533
1123;534
1124;534
1125;534
1126;534
1127;534
1128;534
1129;534
1130;534
1131;534
1132;534
1133;534
1134;534
1135;534
1136;534
1137;534
1138;173
1139;173
1140;173
1141;173
1142;173
1143;173
1144;173
1145;173
1146;173
1147;173
1148;173
1149;173
1150;173
1151;173
1152;173
1153;174
1154;174
1155;174
1156;174
1157;174
1158;174
1159;174
1160;174
1161;174
1162;174
1163;174
1164;174
1165;174
1166;174
1167;174
1168;176
1169;176
1170;176
1171;176
1172;176
1173;176
1174;176
1175;176
1176;176
1177;176
1178;176
1179;176
1180;176
1181;176
1182;176
1183;175
1184;175
1185;175
1186;175
1187;175
1188;175
1189;175
1190;175
1191;175
1192;175
1193;175
1194;175
1195;175
1196;175
1197;175
1198;177
1199;177
1200;177
1201;177
1202;177
1203;177
1204;177
1205;177
1206;177
1207;177
1208;177
1209;177
1210;177
1211;177
1212;177
1213;178
1214;178
1215;178
1216;178
1217;178
1218;178
1219;178
1220;178
1221;178
1222;233
1223;233
1224;233
1225;233
1226;233
1227;233
1228;233
1229;233
1230;233
1231;233
1232;233
1233;233
1234;233
1235;233
1236;233
1237;234
1238;234
1239;234
1240;234
1241;234
1242;234
1243;234
1244;234
1245;234
1246;234
1247;234
1248;234
1249;234
1250;234
1251;234
1252;235
1253;235
1254;235
1255;235
1256;235
1257;235
1258;235
1259;235
1260;235
1261;235
1262;235
1263;235
1264;235
1265;235
1266;235
1267;238
1268;238
1269;238
1270;238
1271;238
1272;238
1273;238
1274;238
1275;238
1276;238
1277;238
1278;238
1279;238
1280;238
1281;238
1282;236
1283;236
1284;236
1285;236
1286;236
1287;236
1288;236
1289;236
1290;236
1291;236
1292;236
1293;236
1294;236
1295;236
1296;236
1297;239
1298;239
1299;239
1300;239
1301;239
1302;239
1303;239
1304;239
1305;239
1306;239
1307;239
1308;239
1309;239
1310;239
1311;239
1312;240
1313;240
1314;240
1315;240
1316;240
1317;240
1318;240
1319;240
1320;240
1321;237
1322;237
1323;237
1324;237
1325;237
1326;237
1327;237
1328;237
1329;237
1330;237
1331;237
1332;237
1333;237
1334;237
1335;237
1336;241
1337;241
1338;241
1339;241
1340;241
1341;241
1342;241
1343;241
1344;241
1345;274
1346;274
1347;274
1348;274
1349;274
1350;274
1351;274
1352;274
1353;274
1354;272
1355;272
1356;272
1357;272
1358;272
1359;272
1360;272
1361;272
1362;272
1363;272
1364;272
1365;272
1366;272
1367;272
1368;272
