index;school
1;25
2;25
3;26
4;26
5;26
6;26
7;26
8;26
9;26
10;26
11;26
12;26
13;26
14;26
15;26
16;27
17;27
18;27
19;27
20;27
21;27
22;27
23;27
24;27
25;27
26;27
27;27
28;27
29;27
30;340
31;340
32;340
33;340
34;340
35;340
36;340
37;340
38;340
39;340
40;340
41;340
42;340
43;340
44;340
45;343
46;343
47;343
48;343
49;343
50;343
51;343
52;343
53;343
54;341
55;341
56;341
57;341
58;341
59;341
60;341
61;341
62;341
63;341
64;341
65;341
66;341
67;341
68;341
69;242
70;242
71;242
72;242
73;242
74;242
75;242
76;242
77;242
78;242
79;242
80;242
81;242
82;242
83;242
84;342
85;342
86;342
87;342
88;342
89;342
90;342
91;342
92;342
93;342
94;342
95;342
96;342
97;342
98;342
99;244
100;244
101;244
102;244
103;244
104;244
105;244
106;244
107;244
108;244
109;244
110;244
111;244
112;244
113;244
114;246
115;246
116;246
117;246
118;246
119;246
120;246
121;246
122;246
123;631
124;631
125;631
126;243
127;243
128;243
129;243
130;243
131;243
132;243
133;243
134;243
135;243
136;243
137;243
138;243
139;243
140;243
141;620
142;620
143;620
144;245
145;245
146;245
147;245
148;245
149;245
150;245
151;245
152;245
153;245
154;245
155;245
156;245
157;245
158;245
159;606
160;606
161;606
162;247
163;247
164;247
165;247
166;247
167;247
168;247
169;247
170;247
171;613
172;613
173;613
174;656
175;656
176;656
177;644
178;644
179;644
180;641
181;641
182;641
183;640
184;640
185;640
186;685
187;685
188;685
189;651
190;651
191;651
192;405
193;405
194;405
195;405
196;405
197;405
198;405
199;405
200;405
201;405
202;405
203;405
204;405
205;405
206;405
207;408
208;408
209;408
210;408
211;408
212;408
213;408
214;408
215;408
216;404
217;404
218;404
219;404
220;404
221;404
222;404
223;404
224;404
225;404
226;404
227;404
228;404
229;404
230;404
231;406
232;406
233;406
234;406
235;406
236;406
237;406
238;406
239;406
240;406
241;406
242;406
243;406
244;406
245;406
246;407
247;407
248;407
249;407
250;407
251;407
252;407
253;407
254;407
255;407
256;407
257;407
258;407
259;407
260;407
261;311
262;311
263;311
264;311
265;311
266;311
267;311
268;311
269;311
270;311
271;311
272;311
273;311
274;311
275;311
276;308
277;308
278;308
279;308
280;308
281;308
282;308
283;308
284;308
285;308
286;308
287;308
288;308
289;308
290;308
291;310
292;310
293;310
294;310
295;310
296;310
297;310
298;310
299;310
300;310
301;310
302;310
303;310
304;310
305;310
306;309
307;309
308;309
309;309
310;309
311;309
312;309
313;309
314;309
315;309
316;309
317;309
318;309
319;309
320;312
321;312
322;312
323;312
324;312
325;312
326;312
327;312
328;312
329;312
330;312
331;312
332;312
333;312
334;312
335;314
336;314
337;314
338;314
339;314
340;314
341;314
342;314
343;314
344;313
345;313
346;313
347;313
348;313
349;313
350;313
351;313
352;313
353;313
354;313
355;313
356;313
357;313
358;313
359;615
360;615
361;615
362;643
363;643
364;643
365;316
366;316
367;316
368;316
369;316
370;316
371;316
372;316
373;316
374;609
375;609
376;609
377;315
378;315
379;315
380;315
381;315
382;315
383;315
384;315
385;315
386;696
387;696
388;696
389;660
390;660
391;660
392;456
393;456
394;456
395;456
396;456
397;456
398;456
399;456
400;456
401;456
402;456
403;456
404;570
405;570
406;570
407;570
408;570
409;570
410;570
411;570
412;570
413;570
414;570
415;570
416;570
417;570
418;570
419;457
420;457
421;457
422;457
423;457
424;457
425;457
426;457
427;457
428;457
429;457
430;457
431;457
432;457
433;457
434;459
435;459
436;459
437;459
438;459
439;459
440;459
441;459
442;459
443;459
444;459
445;459
446;459
447;459
448;459
449;459
450;459
451;459
452;460
453;460
454;460
455;460
456;460
457;460
458;460
459;460
460;460
461;460
462;460
463;460
464;460
465;460
466;460
467;458
468;458
469;458
470;458
471;458
472;458
473;458
474;458
475;458
476;458
477;458
478;458
479;458
480;458
481;458
482;461
483;461
484;461
485;461
486;461
487;461
488;461
489;461
490;461
491;461
492;461
493;461
494;461
495;461
496;461
497;461
498;461
499;461
500;462
501;462
502;462
503;462
504;462
505;462
506;462
507;462
508;462
509;462
510;462
511;462
512;462
513;462
514;462
515;595
516;595
517;595
518;464
519;464
520;464
521;464
522;464
523;464
524;464
525;464
526;464
527;464
528;464
529;464
530;464
531;464
532;464
533;463
534;463
535;463
536;463
537;463
538;463
539;463
540;463
541;463
542;463
543;463
544;463
545;463
546;463
547;463
548;664
549;664
550;664
551;678
552;678
553;678
554;723
555;723
556;723
557;41
558;41
559;41
560;41
561;41
562;41
563;41
564;41
565;41
566;41
567;41
568;41
569;40
570;40
571;121
572;121
573;121
574;120
575;120
576;120
577;674
578;674
579;674
580;122
581;122
582;122
583;123
584;123
585;123
586;125
587;125
588;125
589;124
590;124
591;124
592;126
593;126
594;126
595;128
596;128
597;128
598;127
599;127
600;127
601;129
602;129
603;129
604;554
605;554
606;554
607;554
608;554
609;554
610;554
611;554
612;554
613;554
614;554
615;554
616;554
617;554
618;554
619;130
620;130
621;130
622;553
623;552
624;552
625;552
626;552
627;552
628;552
629;552
630;552
631;552
632;552
633;556
634;556
635;556
636;556
637;556
638;556
639;556
640;556
641;556
642;556
643;556
644;556
645;556
646;556
647;556
648;556
649;556
650;556
651;555
652;555
653;555
654;555
655;555
656;555
657;555
658;555
659;555
660;555
661;555
662;555
663;555
664;555
665;555
666;131
667;131
668;131
669;722
670;722
671;722
672;132
673;132
674;132
675;133
676;133
677;133
678;134
679;134
680;134
681;135
682;135
683;135
684;136
685;136
686;136
687;138
688;138
689;138
690;137
691;137
692;137
693;642
694;642
695;642
696;113
697;113
698;113
699;115
700;115
701;115
702;118
703;118
704;118
705;116
706;116
707;116
708;117
709;117
710;117
711;114
712;114
713;114
714;420
715;420
716;420
717;420
718;420
719;420
720;420
721;420
722;420
723;420
724;420
725;420
726;420
727;420
728;420
729;119
730;119
731;119
732;421
733;421
734;421
735;421
736;421
737;421
738;421
739;421
740;421
741;421
742;421
743;421
744;421
745;421
746;421
747;422
748;422
749;422
750;422
751;422
752;422
753;422
754;422
755;422
756;422
757;422
758;422
759;422
760;422
761;422
762;419
763;419
764;419
765;419
766;419
767;419
768;419
769;419
770;419
771;419
772;419
773;419
774;419
775;419
776;419
777;423
778;423
779;423
780;423
781;423
782;423
783;423
784;423
785;423
786;423
787;423
788;423
789;423
790;423
791;423
792;424
793;424
794;424
795;424
796;424
797;424
798;424
799;424
800;424
801;424
802;424
803;424
804;424
805;424
806;424
807;425
808;425
809;425
810;425
811;425
812;425
813;425
814;425
815;425
816;425
817;425
818;425
819;425
820;425
821;425
822;428
823;428
824;428
825;428
826;428
827;428
828;428
829;428
830;428
831;393
832;393
833;393
834;393
835;393
836;393
837;393
838;393
839;393
840;393
841;393
842;393
843;393
844;393
845;393
846;429
847;429
848;429
849;429
850;429
851;429
852;429
853;429
854;429
855;427
856;427
857;427
858;427
859;427
860;427
861;427
862;427
863;427
864;394
865;394
866;394
867;394
868;394
869;394
870;394
871;394
872;394
873;394
874;394
875;394
876;394
877;394
878;394
879;396
880;396
881;396
882;396
883;396
884;396
885;396
886;396
887;396
888;395
889;395
890;395
891;395
892;395
893;395
894;395
895;395
896;395
897;395
898;395
899;395
900;395
901;395
902;395
903;717
904;717
905;717
906;591
907;591
908;591
909;675
910;675
911;675
912;682
913;682
914;682
915;701
916;701
917;701
918;665
919;665
920;665
921;681
922;681
923;681
924;659
925;659
926;659
927;213
928;213
929;213
930;213
931;213
932;213
933;213
934;213
935;213
936;213
937;213
938;213
939;213
940;213
941;213
942;603
943;603
944;603
945;645
946;645
947;645
948;214
949;214
950;214
951;214
952;214
953;214
954;214
955;214
956;214
957;684
958;684
959;684
960;295
961;295
962;295
963;295
964;295
965;295
966;295
967;295
968;295
969;295
970;295
971;295
972;295
973;295
974;295
975;720
976;720
977;720
978;294
979;294
980;294
981;294
982;294
983;294
984;294
985;294
986;294
987;294
988;294
989;294
990;294
991;294
992;294
993;654
994;654
995;654
996;296
997;296
998;296
999;296
1000;296
1001;296
1002;296
1003;296
1004;296
1005;296
1006;296
1007;296
1008;296
1009;296
1010;296
1011;297
1012;297
1013;297
1014;297
1015;297
1016;297
1017;297
1018;297
1019;297
1020;677
1021;677
1022;677
1023;518
1024;518
1025;518
1026;518
1027;518
1028;518
1029;518
1030;518
1031;518
1032;518
1033;518
1034;518
1035;518
1036;518
1037;518
1038;633
1039;633
1040;633
1041;519
1042;519
1043;519
1044;519
1045;519
1046;519
1047;519
1048;519
1049;519
1050;154
1051;154
1052;154
1053;154
1054;154
1055;154
1056;154
1057;154
1058;154
1059;154
1060;154
1061;154
1062;154
1063;154
1064;154
1065;156
1066;156
1067;156
1068;156
1069;156
1070;156
1071;156
1072;156
1073;156
1074;658
1075;658
1076;658
1077;275
1078;275
1079;275
1080;275
1081;275
1082;275
1083;275
1084;275
1085;275
1086;275
1087;275
1088;275
1089;275
1090;275
1091;275
1092;155
1093;155
1094;155
1095;155
1096;155
1097;155
1098;155
1099;155
1100;155
1101;155
1102;155
1103;155
1104;155
1105;155
1106;155
1107;276
1108;276
1109;276
1110;276
1111;276
1112;276
1113;276
1114;276
1115;276
1116;276
1117;276
1118;276
1119;276
1120;276
1121;276
1122;280
1123;280
1124;280
1125;280
1126;280
1127;280
1128;280
1129;280
1130;280
1131;280
1132;280
1133;280
1134;280
1135;280
1136;280
1137;277
1138;277
1139;277
1140;277
1141;277
1142;277
1143;277
1144;277
1145;277
1146;277
1147;277
1148;277
1149;277
1150;277
1151;277
1152;279
1153;279
1154;279
1155;279
1156;279
1157;279
1158;279
1159;279
1160;279
1161;279
1162;279
1163;279
1164;279
1165;279
1166;279
1167;278
1168;278
1169;278
1170;278
1171;278
1172;278
1173;278
1174;278
1175;278
1176;278
1177;278
1178;278
1179;278
1180;278
1181;278
1182;281
1183;281
1184;281
1185;281
1186;281
1187;281
1188;281
1189;281
1190;281
1191;281
1192;281
1193;281
1194;281
1195;281
1196;281
1197;283
1198;283
1199;283
1200;283
1201;283
1202;283
1203;283
1204;283
1205;283
1206;284
1207;284
1208;284
1209;284
1210;284
1211;284
1212;284
1213;284
1214;284
1215;605
1216;605
1217;605
1218;282
1219;282
1220;282
1221;282
1222;282
1223;282
1224;282
1225;282
1226;282
1227;282
1228;282
1229;282
1230;282
1231;282
1232;282
1233;165
1234;165
1235;165
1236;165
1237;165
1238;165
1239;165
1240;165
1241;165
1242;165
1243;165
1244;165
1245;165
1246;165
1247;165
1248;164
1249;164
1250;164
1251;164
1252;164
1253;164
1254;164
1255;164
1256;164
1257;164
1258;164
1259;164
1260;164
1261;164
1262;164
1263;166
1264;166
1265;166
1266;166
1267;166
1268;166
1269;166
1270;166
1271;166
1272;532
1273;532
1274;532
1275;532
1276;532
1277;532
1278;532
1279;532
1280;532
1281;532
1282;532
1283;532
1284;532
1285;532
1286;532
1287;531
1288;531
1289;531
1290;531
1291;531
1292;531
1293;531
1294;531
1295;531
1296;531
1297;531
1298;531
1299;689
1300;689
1301;689
1302;589
1303;589
1304;589
1305;533
1306;533
1307;533
1308;533
1309;533
1310;533
1311;533
1312;533
1313;533
1314;533
1315;533
1316;533
1317;533
1318;533
1319;533
1320;533
1321;533
1322;533
1323;596
1324;596
1325;596
1326;534
1327;534
1328;534
1329;534
1330;534
1331;534
1332;534
1333;534
1334;534
1335;534
1336;534
1337;534
1338;534
1339;534
1340;534
1341;173
1342;173
1343;173
1344;173
1345;173
1346;173
1347;173
1348;173
1349;173
1350;173
1351;173
1352;173
1353;173
1354;173
1355;173
1356;174
1357;174
1358;174
1359;174
1360;174
1361;174
1362;174
1363;174
1364;174
1365;174
1366;174
1367;174
1368;174
