index;school;address;municipality;telephone;institute email;miur code;vivoscuola institute link;wikipedia municipality link;vivoscuola school link;admission rate
1;associazione r. steiner - primaria;via conci, 86 38123;trento;461930658;associazione@pec.scuolasteiner-trento.it;tn1e00900d;https://www.vivoscuola.it/content/view/full/29224;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29225;100.0
2;associazione r. steiner - secondaria i grado;via conci, 86 38123;trento;461930658;associazione@pec.scuolasteiner-trento.it;tn1m007003;https://www.vivoscuola.it/content/view/full/29224;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29226;100.0
3;"liceo delle scienze umane ""scuola steiner"" trento";via conci - trento, 86 38123;trento;461930658;associazione@pec.scuolasteiner-trento.it;tnpmts5005;https://www.vivoscuola.it/content/view/full/29224;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/148606;97.95918367346938
4;asilo colle fiorito;via stazione mori, 10 38068;rovereto;464434899;;;https://www.vivoscuola.it/content/view/full/29227;https://it.wikipedia.org/wiki/Rovereto;https://www.vivoscuola.it/content/view/full/29228;
5;capes - settore industria e artigianato;via grazioli, 2 38122;trento;461260454;canossatrento@pec.it;tncf009001;https://www.vivoscuola.it/content/view/full/29246;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/170191;79.3103448275862
6;settore industria e artigianato;via grazioli, 2 38122;trento;461260454;canossatrento@pec.it;tncf009001;https://www.vivoscuola.it/content/view/full/29246;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29247;84.375
7;capes - settore industria e artigianato;via gazzoletti - mogno, 8 38062;arco;464516465;cfp.arco@pec.it;tncf00100q;https://www.vivoscuola.it/content/view/full/29248;https://it.wikipedia.org/wiki/Arco_(Italia);https://www.vivoscuola.it/content/view/full/170192;58.333333333333336
8;settore industria e artigianato;via gazzoletti, 8 38062;arco;464516465;cfp.arco@pec.it;tnfp249sta;https://www.vivoscuola.it/content/view/full/29248;https://it.wikipedia.org/wiki/Arco_(Italia);https://www.vivoscuola.it/content/view/full/29249;78.44311377245509
9;capes - settore industria e artigianato;via giamaolle, 15 38051;borgo valsugana;461753037;cfp.borgo@pec.it;tncf00200g;https://www.vivoscuola.it/content/view/full/29250;https://it.wikipedia.org/wiki/Borgo_Valsugana;https://www.vivoscuola.it/content/view/full/170193;88.88888888888889
10;settore industria e artigianato;via giamaolle, 15 38051;borgo valsugana;461753037;cfp.borgo@pec.it;tnfp250sta;https://www.vivoscuola.it/content/view/full/29250;https://it.wikipedia.org/wiki/Borgo_Valsugana;https://www.vivoscuola.it/content/view/full/29251;82.14285714285714
11;settore industria e artigianato;via mitterer, 10 38023;cles;463421362;cfp.cles@pec.it;tnfp251sta;https://www.vivoscuola.it/content/view/full/29253;https://it.wikipedia.org/wiki/Cles;https://www.vivoscuola.it/content/view/full/29254;91.32947976878613
12;capes - settore servizi;via di s antonio - ossana, 1 38026;ossana;463751102;cfp.ossana@pec.it;tncf00300b;https://www.vivoscuola.it/content/view/full/29255;https://it.wikipedia.org/wiki/Ossana;https://www.vivoscuola.it/content/view/full/170194;90.0
13;settore servizi;via di s antonio - ossana, 1 38026;ossana;463751102;cfp.ossana@pec.it;tnfp252sta;https://www.vivoscuola.it/content/view/full/29255;https://it.wikipedia.org/wiki/Ossana;https://www.vivoscuola.it/content/view/full/29256;88.63636363636364
