index;academic year;school year;number of students;number of classes;school
1;2025/2026;5;40;2;25
2;2024/2025;5;26;1;25
3;2025/2026;1;173;8;26
4;2025/2026;2;159;9;26
5;2025/2026;3;134;9;26
6;2025/2026;4;62;6;26
7;2024/2025;1;210;9;26
8;2024/2025;2;162;9;26
9;2024/2025;3;115;7;26
10;2024/2025;4;76;6;26
11;2023/2024;1;176;8;26
12;2023/2024;2;158;9;26
13;2023/2024;3;130;9;26
14;2023/2024;4;64;4;26
15;2023/2024;5;23;1;26
16;2025/2026;2;43;4;27
17;2025/2026;3;27;4;27
18;2025/2026;2;43;4;27
19;2025/2026;3;27;4;27
20;2024/2025;2;43;4;27
21;2024/2025;3;22;4;27
22;2024/2025;2;43;4;27
23;2024/2025;3;22;4;27
24;2023/2024;2;17;1;27
25;2023/2024;3;5;1;27
26;2023/2024;2;10;1;27
27;2023/2024;3;23;2;27
28;2023/2024;2;41;4;27
29;2023/2024;3;28;3;27
30;2025/2026;1;43;2;340
31;2025/2026;2;31;2;340
32;2025/2026;3;45;2;340
33;2025/2026;4;51;3;340
34;2025/2026;5;40;2;340
35;2024/2025;1;33;2;340
36;2024/2025;2;46;2;340
37;2024/2025;3;52;3;340
38;2024/2025;4;41;2;340
39;2024/2025;5;47;3;340
40;2023/2024;1;47;2;340
41;2023/2024;2;48;3;340
42;2023/2024;3;41;2;340
43;2023/2024;4;47;3;340
44;2023/2024;5;41;3;340
45;2025/2026;1;99;5;343
46;2025/2026;2;102;5;343
47;2025/2026;3;127;6;343
48;2024/2025;1;104;5;343
49;2024/2025;2;124;6;343
50;2024/2025;3;106;5;343
51;2023/2024;1;124;6;343
52;2023/2024;2;105;5;343
53;2023/2024;3;97;5;343
54;2025/2026;1;38;2;341
55;2025/2026;2;45;2;341
56;2025/2026;3;38;2;341
57;2025/2026;4;39;2;341
58;2025/2026;5;43;2;341
59;2024/2025;1;45;2;341
60;2024/2025;2;37;2;341
61;2024/2025;3;41;2;341
62;2024/2025;4;43;2;341
63;2024/2025;5;44;2;341
64;2023/2024;1;38;2;341
65;2023/2024;2;45;2;341
66;2023/2024;3;46;2;341
67;2023/2024;4;45;2;341
68;2023/2024;5;50;2;341
69;2025/2026;1;16;1;242
70;2025/2026;2;10;1;242
71;2025/2026;3;8;1;242
72;2025/2026;4;11;1;242
73;2025/2026;5;19;1;242
74;2024/2025;1;12;1;242
75;2024/2025;2;8;1;242
76;2024/2025;3;11;1;242
77;2024/2025;4;19;1;242
78;2024/2025;5;15;1;242
79;2023/2024;1;8;1;242
80;2023/2024;2;11;1;242
81;2023/2024;3;19;1;242
82;2023/2024;4;13;1;242
83;2023/2024;5;12;1;242
