index;academic year;school year;admission rate;school
1;2022/2023;1;0.0;25
2;2022/2023;2;0.0;25
3;2022/2023;3;0.0;25
4;2022/2023;4;0.0;25
5;2022/2023;5;0.0;25
6;2023/2024;1;0.0;25
7;2023/2024;2;0.0;25
8;2023/2024;3;0.0;25
9;2023/2024;4;0.0;25
10;2023/2024;5;0.0;25
11;2024/2025;1;0.0;25
12;2024/2025;2;0.0;25
13;2024/2025;3;0.0;25
14;2024/2025;4;0.0;25
15;2024/2025;5;70.83333333333334;25
16;2022/2023;1;61.93181818181818;26
17;2022/2023;2;76.08695652173914;26
18;2022/2023;3;76.36363636363637;26
19;2022/2023;4;85.71428571428571;26
20;2023/2024;1;61.76470588235294;26
21;2023/2024;2;67.83216783216784;26
22;2023/2024;3;91.80327868852459;26
23;2023/2024;4;95.0;26
24;2024/2025;1;64.8936170212766;26
25;2024/2025;2;79.5774647887324;26
26;2024/2025;3;79.81651376146789;26
27;2024/2025;4;87.14285714285714;26
28;2022/2023;1;0.0;27
29;2022/2023;2;0.0;27
30;2022/2023;3;38.88888888888889;27
31;2023/2024;1;0.0;27
32;2023/2024;2;44.11764705882353;27
33;2023/2024;3;46.15384615384615;27
34;2024/2025;1;0.0;27
35;2024/2025;2;55.81395348837209;27
36;2024/2025;3;72.72727272727273;27
37;2022/2023;1;100.0;340
38;2022/2023;2;100.0;340
39;2022/2023;3;100.0;340
40;2022/2023;4;100.0;340
41;2022/2023;5;100.0;340
42;2023/2024;1;100.0;340
43;2023/2024;2;100.0;340
44;2023/2024;3;100.0;340
45;2023/2024;4;100.0;340
46;2023/2024;5;100.0;340
47;2024/2025;1;100.0;340
48;2024/2025;2;100.0;340
49;2024/2025;3;100.0;340
50;2024/2025;4;100.0;340
51;2024/2025;5;100.0;340
52;2022/2023;1;100.0;343
53;2022/2023;2;100.0;343
54;2022/2023;3;100.0;343
55;2023/2024;1;98.3739837398374;343
56;2023/2024;2;99.02912621359224;343
57;2023/2024;3;98.95833333333334;343
58;2024/2025;1;100.0;343
59;2024/2025;2;100.0;343
60;2024/2025;3;97.16981132075472;343
61;2022/2023;1;100.0;341
62;2022/2023;2;100.0;341
63;2022/2023;3;100.0;341
64;2022/2023;4;100.0;341
65;2022/2023;5;100.0;341
66;2023/2024;1;97.36842105263158;341
67;2023/2024;2;100.0;341
68;2023/2024;3;100.0;341
69;2023/2024;4;100.0;341
70;2023/2024;5;100.0;341
71;2024/2025;1;100.0;341
72;2024/2025;2;100.0;341
73;2024/2025;3;100.0;341
74;2024/2025;4;100.0;341
75;2024/2025;5;100.0;341
76;2022/2023;1;100.0;242
77;2022/2023;2;100.0;242
78;2022/2023;3;100.0;242
79;2022/2023;4;100.0;242
80;2022/2023;5;100.0;242
81;2023/2024;1;87.5;242
82;2023/2024;2;100.0;242
83;2023/2024;3;100.0;242
84;2023/2024;4;100.0;242
85;2023/2024;5;100.0;242
86;2024/2025;1;100.0;242
87;2024/2025;2;100.0;242
88;2024/2025;3;100.0;242
89;2024/2025;4;100.0;242
90;2024/2025;5;100.0;242
91;2022/2023;1;100.0;342
92;2022/2023;2;100.0;342
93;2022/2023;3;100.0;342
94;2022/2023;4;100.0;342
95;2022/2023;5;100.0;342
96;2023/2024;1;100.0;342
97;2023/2024;2;100.0;342
98;2023/2024;3;100.0;342
99;2023/2024;4;100.0;342
100;2023/2024;5;100.0;342
101;2024/2025;1;100.0;342
102;2024/2025;2;100.0;342
103;2024/2025;3;100.0;342
104;2024/2025;4;100.0;342
105;2024/2025;5;100.0;342
106;2022/2023;1;100.0;244
107;2022/2023;2;100.0;244
108;2022/2023;3;100.0;244
109;2022/2023;4;100.0;244
110;2022/2023;5;100.0;244
111;2023/2024;1;100.0;244
112;2023/2024;2;100.0;244
113;2023/2024;3;100.0;244
114;2023/2024;4;100.0;244
115;2023/2024;5;100.0;244
116;2024/2025;1;100.0;244
117;2024/2025;2;100.0;244
118;2024/2025;3;100.0;244
119;2024/2025;4;100.0;244
120;2024/2025;5;100.0;244
121;2022/2023;1;100.0;246
122;2022/2023;2;100.0;246
123;2022/2023;3;100.0;246
124;2023/2024;1;98.18181818181819;246
125;2023/2024;2;100.0;246
126;2023/2024;3;100.0;246
127;2024/2025;1;100.0;246
128;2024/2025;2;98.18181818181819;246
129;2024/2025;3;100.0;246
130;2022/2023;1;100.0;243
131;2022/2023;2;100.0;243
132;2022/2023;3;100.0;243
133;2022/2023;4;100.0;243
134;2022/2023;5;100.0;243
135;2023/2024;1;100.0;243
136;2023/2024;2;100.0;243
137;2023/2024;3;100.0;243
138;2023/2024;4;100.0;243
139;2023/2024;5;100.0;243
140;2024/2025;1;100.0;243
141;2024/2025;2;100.0;243
142;2024/2025;3;100.0;243
143;2024/2025;4;100.0;243
144;2024/2025;5;100.0;243
145;2022/2023;1;100.0;245
146;2022/2023;2;100.0;245
147;2022/2023;3;100.0;245
148;2022/2023;4;100.0;245
