institute;municipality
1;trento
2;rovereto
3;trento
4;arco
5;borgo valsugana
6;cles
7;ossana
8;primiero san martino di castrozza
9;tesero
10;tione di trento
11;riva del garda
12;trento
13;levico terme
14;rovereto
15;trento
16;arco
17;borgo valsugana
18;cles
19;rovereto
20;tione di trento
21;trento
22;pergine valsugana
23;rovereto
24;malé
25;borgo valsugana
26;trento
27;trento
28;trento
29;trento
30;mezzolombardo
31;tione di trento
32;rovereto
33;trento
34;rovereto
35;trento
36;san giovanni di fassa
37;san michele all'adige
38;ala
39;trento
40;ossana
41;volano
42;baselga di piné
43;arco
44;avio
45;denno
46;malé
47;borgo valsugana
48;brentonico
49;cavalese
50;cembra lisignago
51;roncegno terme
52;civezzano
53;cles
54;storo
55;primiero san martino di castrozza
56;folgaria
57;borgo d'anaunia
58;comano terme
59;rovereto
60;lavis
61;levico terme
62;mezzocorona
63;mezzolombardo
64;mori
65;pergine valsugana
66;pergine valsugana
67;predazzo
68;riva del garda
69;riva del garda
70;rovereto
71;rovereto
72;rovereto
73;castel ivano
74;predaia
75;tione di trento
76;trento
77;trento
78;trento
79;trento
80;trento
81;trento
82;trento
83;pinzolo
84;vallelaghi
85;ledro
86;altopiano della vigolana
87;villa lagarina
88;levico terme
89;rovereto
90;trento
91;borgo valsugana
92;rovereto
93;tione di trento
94;cavalese
95;pergine valsugana
96;mezzolombardo
97;arco
98;trento
99;trento
100;mezzano
101;trento
102;cles
103;rovereto
104;riva del garda
105;rovereto
106;trento
107;riva del garda
108;rovereto
109;trento
110;cles
111;rovereto
112;trento
113;trento
114;trento
115;trento
116;trento
117;rovereto
118;ala
119;albiano
120;aldeno
121;andalo
122;arco
123;avio
124;levico terme
125;arco
126;bondone
127;rovereto
128;borgo valsugana
129;sella giudicarie
130;brentonico
131;calceranica al lago
132;campitello di fassa
133;campodenno
134;ville di fiemme
135;carisolo
136;sanzeno
137;villa lagarina
138;castello-molina di fiemme
139;castelnuovo
140;cavalese
141;cavedine
142;cembra lisignago
143;ala
144;cles
145;novella
146;borgo chiese
147;predaia
148;trento
149;brentonico
150;valdaone
151;denno
152;dimaro folgarida
153;altavalle
154;fiavé
155;primiero san martino di castrozza
156;borgo d'anaunia
157;fornace
158;trento
159;trento
160;grigno
161;pergine valsugana
162;lavis
163;rovereto
164;rovereto
165;storo
166;lona-lases
167;tre ville
168;pergine valsugana
169;malé
170;rovereto
171;roncegno terme
172;trento
173;cavalese
174;arco
175;cles
176;mezzano
177;mezzocorona
178;mezzolombardo
179;moena
180;ledro
181;predaia
182;molveno
183;sover
184;mori
185;nago-torbole
186;terre d'adige
187;nomi
188;ospedaletto
189;vallelaghi
190;villa lagarina
191;pergine valsugana
192;dro
193;pieve di bono-prezzo
194;pieve tesino
195;ala
196;pinzolo
197;comano terme
198;trento
199;trambileno
200;predazzo
201;lavis
202;bleggio superiore
203;vallelaghi
204;riva del garda
205;riva del garda
206;riva del garda
207;roncegno terme
208;ronchi valsugana
209;pergine valsugana
210;sella giudicarie
211;ronzo-chienis
212;rovereto
213;rovereto
214;comano terme
215;san lorenzo dorsino
216;ala
217;avio
218;primiero san martino di castrozza
219;madruzzo
220;scurelle
221;predaia
222;segonzano
223;ala
224;pergine valsugana
225;predaia
226;trento
227;spiazzo
228;spormaggiore
229;stenico
230;storo
231;castel ivano
232;pergine valsugana
233;predaia
234;telve
235;tenno
236;tesero
237;grigno
238;tione di trento
239;primiero san martino di castrozza
240;nago-torbole
241;torcegno
242;primiero san martino di castrozza
243;trento
244;trento
245;trento
246;trento
247;trento
248;trento
249;trento
250;trento
251;trento
252;trento
253;ville d'anaunia
254;riva del garda
255;vermiglio
256;vallelaghi
257;cavedine
258;trento
259;san giovanni di fassa
260;ton
261;comano terme
262;villa lagarina
263;trento
264;trento
265;volano
266;ziano di fiemme
267;san giovanni di fassa
268;rovereto
269;civezzano
