school;municipality
1;trento
2;trento
3;trento
4;rovereto
5;trento
6;trento
7;arco
8;arco
9;borgo valsugana
10;borgo valsugana
11;cles
12;ossana
13;ossana
14;primiero san martino di castrozza
15;primiero san martino di castrozza
16;tesero
17;tesero
18;tesero
19;tione di trento
20;tione di trento
21;tione di trento
22;tione di trento
23;riva del garda
24;riva del garda
25;trento
26;trento
27;trento
28;levico terme
29;rovereto
30;rovereto
31;trento
32;trento
33;arco
34;arco
35;borgo valsugana
36;cles
37;cles
38;rovereto
39;rovereto
40;tione di trento
41;tione di trento
42;trento
43;trento
44;trento
45;baselga di piné
46;capriana
47;valfloriana
48;civezzano
49;ville di fiemme
50;fierozzo
51;baselga di piné
52;castello-molina di fiemme
53;bedollo
54;baselga di piné
55;sant'orsola terme
56;civezzano
57;besenello
58;calliano
59;isera
60;nogaredo
61;pomarolo
62;rovereto
63;rovereto
64;rovereto
65;borgo d'anaunia
66;cavareno
67;peio
68;livo
69;mezzana
70;rumo
71;dimaro folgarida
72;pellizzano
73;rabbi
74;romeno
75;ruffré-mendola
76;sarnonico
77;terzolas
78;bieno
79;altopiano della vigolana
80;caldonazzo
81;canal san bovo
82;castello tesino
83;altopiano della vigolana
84;imer
85;levico terme
86;novaledo
87;tenna
88;altopiano della vigolana
89;altopiano della vigolana
90;castel ivano
91;trento
92;trento
93;trento
94;trento
95;trento
96;trento
97;trento
98;trento
99;cimone
100;trento
101;trento
102;trento
103;trento
104;trento
105;madruzzo
106;madruzzo
107;vallelaghi
108;trento
109;trento
110;trento
111;trento
112;trento
113;giovo
114;altavalle
115;trento
116;trento
117;trento
118;trento
119;terre d'adige
120;cavedago
121;cles
122;contà
123;fai della paganella
124;san michele all'adige
125;ville d'anaunia
126;novella
127;roveré della luna
128;san michele all'adige
129;sporminore
130;predaia
131;ledro
132;storo
133;dro
134;tre ville
135;riva del garda
136;arco
137;ledro
138;borgo lares
139;vallarsa
140;rovereto
141;rovereto
142;rovereto
143;rovereto
144;rovereto
145;rovereto
146;terragnolo
147;mori
148;trento
149;trento
150;trento
151;trento
152;trento
153;trento
154;rovereto
155;rovereto
156;rovereto
157;trento
158;canazei
159;san giovanni di fassa
160;soraga di fassa
161;san michele all'adige
162;san michele all'adige
163;san michele all'adige
164;ala
165;ala
166;ala
167;aldeno
168;cimone
169;trento
170;trento
171;trento
172;aldeno
173;ossana
174;peio
175;commezzadura
176;vermiglio
177;vermiglio
178;ossana
179;calliano
180;volano
181;besenello
182;rovereto
183;bedollo
184;baselga di piné
185;baselga di piné
186;baselga di piné
187;arco
188;arco
189;arco
190;arco
191;arco
192;avio
193;avio
194;avio
195;campodenno
196;denno
197;ville d'anaunia
198;contà
199;ville d'anaunia
200;ton
201;ville d'anaunia
202;denno
203;croviana
204;malé
205;caldes
206;dimaro folgarida
207;rabbi
208;malé
209;borgo valsugana
210;grigno
211;borgo valsugana
212;grigno
213;brentonico
214;brentonico
215;capriana
216;ville di fiemme
217;valfloriana
218;castello-molina di fiemme
219;cavalese
220;cavalese
221;castello-molina di fiemme
222;ville di fiemme
223;cavalese
224;lona-lases
225;altavalle
226;sover
227;cembra lisignago
228;segonzano
229;giovo
230;cembra lisignago
231;segonzano
232;giovo
233;novaledo
234;roncegno terme
235;castelnuovo
236;roncegno terme
237;ronchi valsugana
238;telve
239;telve di sopra
240;telve
241;roncegno terme
242;fornace
243;civezzano
244;albiano
245;civezzano
246;civezzano
247;albiano
248;livo
249;rumo
250;cles
251;cles
252;borgo chiese
253;storo
254;pieve di bono-prezzo
255;storo
256;storo
257;pieve di bono-prezzo
258;primiero san martino di castrozza
259;primiero san martino di castrozza
260;primiero san martino di castrozza
261;primiero san martino di castrozza
262;primiero san martino di castrozza
263;canal san bovo
264;mezzano
265;primiero san martino di castrozza
266;canal san bovo
267;folgaria
268;lavarone
269;luserna
270;folgaria
271;folgaria
272;lavarone
273;lavarone
274;folgaria
275;novella
276;romeno
277;borgo d'anaunia
278;novella
279;borgo d'anaunia
280;cavareno
281;sanzeno
