vivoscuola school link;academic year;school year;admission rate
https://www.vivoscuola.it/content/view/full/170199;2022/2023;1;0.0
https://www.vivoscuola.it/content/view/full/170199;2022/2023;2;0.0
https://www.vivoscuola.it/content/view/full/170199;2022/2023;3;0.0
https://www.vivoscuola.it/content/view/full/170199;2022/2023;4;0.0
https://www.vivoscuola.it/content/view/full/170199;2022/2023;5;0.0
https://www.vivoscuola.it/content/view/full/170199;2023/2024;1;0.0
https://www.vivoscuola.it/content/view/full/170199;2023/2024;2;0.0
https://www.vivoscuola.it/content/view/full/170199;2023/2024;3;0.0
https://www.vivoscuola.it/content/view/full/170199;2023/2024;4;0.0
https://www.vivoscuola.it/content/view/full/170199;2023/2024;5;0.0
https://www.vivoscuola.it/content/view/full/170199;2024/2025;1;0.0
https://www.vivoscuola.it/content/view/full/170199;2024/2025;2;0.0
https://www.vivoscuola.it/content/view/full/170199;2024/2025;3;0.0
https://www.vivoscuola.it/content/view/full/170199;2024/2025;4;0.0
https://www.vivoscuola.it/content/view/full/170199;2024/2025;5;70.83333333333334
https://www.vivoscuola.it/content/view/full/29266;2022/2023;1;61.93181818181818
https://www.vivoscuola.it/content/view/full/29266;2022/2023;2;76.08695652173914
https://www.vivoscuola.it/content/view/full/29266;2022/2023;3;76.36363636363637
https://www.vivoscuola.it/content/view/full/29266;2022/2023;4;85.71428571428571
https://www.vivoscuola.it/content/view/full/29266;2023/2024;1;61.76470588235294
https://www.vivoscuola.it/content/view/full/29266;2023/2024;2;67.83216783216784
https://www.vivoscuola.it/content/view/full/29266;2023/2024;3;91.80327868852459
https://www.vivoscuola.it/content/view/full/29266;2023/2024;4;95.0
https://www.vivoscuola.it/content/view/full/29266;2024/2025;1;64.8936170212766
https://www.vivoscuola.it/content/view/full/29266;2024/2025;2;79.5774647887324
https://www.vivoscuola.it/content/view/full/29266;2024/2025;3;79.81651376146789
https://www.vivoscuola.it/content/view/full/29266;2024/2025;4;87.14285714285714
https://www.vivoscuola.it/content/view/full/29267;2022/2023;1;0.0
https://www.vivoscuola.it/content/view/full/29267;2022/2023;2;0.0
https://www.vivoscuola.it/content/view/full/29267;2022/2023;3;38.88888888888889
https://www.vivoscuola.it/content/view/full/29267;2023/2024;1;0.0
https://www.vivoscuola.it/content/view/full/29267;2023/2024;2;44.11764705882353
https://www.vivoscuola.it/content/view/full/29267;2023/2024;3;46.15384615384615
https://www.vivoscuola.it/content/view/full/29267;2024/2025;1;0.0
https://www.vivoscuola.it/content/view/full/29267;2024/2025;2;55.81395348837209
https://www.vivoscuola.it/content/view/full/29267;2024/2025;3;72.72727272727273
https://www.vivoscuola.it/content/view/full/29632;2022/2023;1;100.0
https://www.vivoscuola.it/content/view/full/29632;2022/2023;2;100.0
https://www.vivoscuola.it/content/view/full/29632;2022/2023;3;100.0
https://www.vivoscuola.it/content/view/full/29632;2022/2023;4;100.0
https://www.vivoscuola.it/content/view/full/29632;2022/2023;5;100.0
https://www.vivoscuola.it/content/view/full/29632;2023/2024;1;100.0
https://www.vivoscuola.it/content/view/full/29632;2023/2024;2;100.0
https://www.vivoscuola.it/content/view/full/29632;2023/2024;3;100.0
https://www.vivoscuola.it/content/view/full/29632;2023/2024;4;100.0
https://www.vivoscuola.it/content/view/full/29632;2023/2024;5;100.0
https://www.vivoscuola.it/content/view/full/29632;2024/2025;1;100.0
https://www.vivoscuola.it/content/view/full/29632;2024/2025;2;100.0
https://www.vivoscuola.it/content/view/full/29632;2024/2025;3;100.0
https://www.vivoscuola.it/content/view/full/29632;2024/2025;4;100.0
https://www.vivoscuola.it/content/view/full/29632;2024/2025;5;100.0
https://www.vivoscuola.it/content/view/full/29635;2022/2023;1;100.0
https://www.vivoscuola.it/content/view/full/29635;2022/2023;2;100.0
https://www.vivoscuola.it/content/view/full/29635;2022/2023;3;100.0
https://www.vivoscuola.it/content/view/full/29635;2023/2024;1;98.3739837398374
https://www.vivoscuola.it/content/view/full/29635;2023/2024;2;99.02912621359224
https://www.vivoscuola.it/content/view/full/29635;2023/2024;3;98.95833333333334
https://www.vivoscuola.it/content/view/full/29635;2024/2025;1;100.0
https://www.vivoscuola.it/content/view/full/29635;2024/2025;2;100.0
https://www.vivoscuola.it/content/view/full/29635;2024/2025;3;97.16981132075472
https://www.vivoscuola.it/content/view/full/29633;2022/2023;1;100.0
https://www.vivoscuola.it/content/view/full/29633;2022/2023;2;100.0
https://www.vivoscuola.it/content/view/full/29633;2022/2023;3;100.0
https://www.vivoscuola.it/content/view/full/29633;2022/2023;4;100.0
https://www.vivoscuola.it/content/view/full/29633;2022/2023;5;100.0
https://www.vivoscuola.it/content/view/full/29633;2023/2024;1;97.36842105263158
https://www.vivoscuola.it/content/view/full/29633;2023/2024;2;100.0
https://www.vivoscuola.it/content/view/full/29633;2023/2024;3;100.0
https://www.vivoscuola.it/content/view/full/29633;2023/2024;4;100.0
https://www.vivoscuola.it/content/view/full/29633;2023/2024;5;100.0
https://www.vivoscuola.it/content/view/full/29633;2024/2025;1;100.0
https://www.vivoscuola.it/content/view/full/29633;2024/2025;2;100.0
https://www.vivoscuola.it/content/view/full/29633;2024/2025;3;100.0
https://www.vivoscuola.it/content/view/full/29633;2024/2025;4;100.0
