"Istituto Principale";Scuola;"Tipo Istituto";"Tipo Gestione";Dirigente;Direttore;"Coordinatore Pedagogico";Indirizzo;Comune;Telefono;Fax;"Email istituto";"Email dirigenza";"Email segreteria";"Sito web";"Codice MIUR"
"ASSOCIAZIONE RUDOLF STEINER PER LA PEDAGOGIA APS - ROVERETO";"Asilo Colle Fiorito";;Paritaria/equiparata;;;;"Via Stazione Mori, 10 38068";ROVERETO;"0464 434899";;;;;;
"Circolo di coordinamento n. 4";"Scuola dell'Infanzia di Cimone ""Mamma Teresa""";;"A carattere statale/provinciale";;;"RITA FERENZENA";"Frazione Petrolli, 37 38060";CIMONE;0461/855216;0461/496950;scuolainfanzia.cimone@scuole.provincia.tn.it;;circolo.coordinamento04@provincia.tn.it;;
"Circolo di coordinamento n. 4";"Scuola dell'Infanzia di Trento  ""Torrione""";;"A carattere statale/provinciale";;;"RITA FERENZENA";"Via Al Torrione, 10 38122";TRENTO;0461/232554;0461/496950;scuolainfanzia.torrione@scuole.provincia.tn.it;;circolo.coordinamento04@provincia.tn.it;;
"Circolo di coordinamento n. 4";"Scuola dell'Infanzia di Trento  Mattarello  ""Il Castello""";;"A carattere statale/provinciale";;;"RITA FERENZENA";"Via Del Castel, 1/A 38123";TRENTO;0461/945095;0461/496950;scuolainfanzia.mattarello@scuole.provincia.tn.it;;circolo.coordinamento04@provincia.tn.it;;
"Scuola dell'infanzia di Vigo di Fassa";"Scuola dell'Infanzia di Vigo di Fassa";;Paritaria/equiparata;;;"SARA DE ZOLT";"Strada Giuseppe Soraperra - Pozza di Fassa, 4 38036";"SAN GIOVANNI DI FASSA - SEN JAN";0462-763194;;vigo.fassa.presidente@fpsm.tn.it;;vigo.fassa.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Vigo di Ton";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ELENA RICCI";"Piazza Guardi, 7 38010";TON;0461-657897;;vigo.ton.segretario@fpsm.tn.it;;vigo.ton.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Vigo di Ton";"Scuola dell'Infanzia di Vigo di Ton";;Paritaria/equiparata;;;"ELENA RICCI";"Piazza Guardi, 7 38010";TON;0461-657897;;vigo.ton.segretario@fpsm.tn.it;;vigo.ton.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Villamontagna";;"Scuola dell'infanzia";Paritaria/equiparata;;;"CARMEN FATTORI";"Via dei Carli, 16 38121";TRENTO;0461-209045;;villamontagna.segretario@fpsm.tn.it;;villamontagna.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Villamontagna";"Scuola dell'Infanzia di Villamontagna";;Paritaria/equiparata;;;"CARMEN FATTORI";"Via dei Carli, 16 38121";TRENTO;0461-209045;;villamontagna.segretario@fpsm.tn.it;;villamontagna.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Villazzano";;"Scuola dell'infanzia";Paritaria/equiparata;;;"IVANA LEONARDELLI";"Via Giordano, 15 38123";TRENTO;0461-920382;;villazzano.segretario@fpsm.tn.it;;villazzano.segretario@fpsm.tn.it;;
