main institute;school;school type;administration type;manager;director;educational coordinator;address;municipality;telephone;fax;institute email;management email;secretary's office email;website;miur code;vivoscuola institute link;entity
associazione pedagogica steineriana - trento;;istituzione scolastica e formativa;paritaria/equiparata;carlo musio;;;via conci, 86 38123;trento;0461/930658;;associazione@pec.scuolasteiner-trento.it;;segreteria@scuolasteiner-trento.it;https://www.scuolasteiner-trento.it;;https://www.vivoscuola.it/content/view/full/29224;institute
associazione pedagogica steineriana - trento;associazione r. steiner - primaria;;paritaria/equiparata;carlo musio;;;via conci, 86 38123;trento;0461/930658;;associazione@pec.scuolasteiner-trento.it;;segreteria@scuolasteiner-trento.it;https://www.scuolasteiner-trento.it;tn1e00900d;https://www.vivoscuola.it/content/view/full/29224;school
associazione pedagogica steineriana - trento;associazione r. steiner - secondaria i grado;;paritaria/equiparata;carlo musio;;;via conci, 86 38123;trento;0461/930658;;associazione@pec.scuolasteiner-trento.it;;segreteria@scuolasteiner-trento.it;https://www.scuolasteiner-trento.it;tn1m007003;https://www.vivoscuola.it/content/view/full/29224;school
associazione pedagogica steineriana - trento;"liceo delle scienze umane ""scuola steiner"" trento";;paritaria/equiparata;carlo musio;;;via conci - trento, 86 38123;trento;0461/930658;;associazione@pec.scuolasteiner-trento.it;;segreteria@scuolasteiner-trento.it;https://www.scuolasteiner-trento.it;tnpmts5005;https://www.vivoscuola.it/content/view/full/29224;school
associazione rudolf steiner per la pedagogia aps - rovereto;;scuola dell'infanzia;paritaria/equiparata;;;;via stazione mori, 10 38068;rovereto;;;;;;;;https://www.vivoscuola.it/content/view/full/29227;institute
associazione rudolf steiner per la pedagogia aps - rovereto;asilo colle fiorito;;paritaria/equiparata;;;;via stazione mori, 10 38068;rovereto;0464 434899;;;;;;;https://www.vivoscuola.it/content/view/full/29227;school
"centro formazione professionale ""centromoda canossa"" ";;istituzione scolastica e formativa;paritaria/equiparata;;michele filippini;;via grazioli, 2 38122;trento;0461/260454;0461/267864;canossatrento@pec.it;direzione@centromoda.tn.it;didattica@centromoda.tn.it;https://www.centromoda.tn.it;;https://www.vivoscuola.it/content/view/full/29246;institute
"centro formazione professionale ""centromoda canossa"" ";capes - settore industria e artigianato;;paritaria/equiparata;;michele filippini;;via grazioli, 2 38122;trento;0461/260454;0461/267864;canossatrento@pec.it;direzione@centromoda.tn.it;didattica@centromoda.tn.it;https://www.centromoda.tn.it;tncf009001;https://www.vivoscuola.it/content/view/full/29246;school
"centro formazione professionale ""centromoda canossa"" ";settore industria e artigianato;;paritaria/equiparata;;michele filippini;;via grazioli, 2 38122;trento;0461/260454;0461/267864;canossatrento@pec.it;direzione@centromoda.tn.it;didattica@centromoda.tn.it;https://www.centromoda.tn.it;tncf009001;https://www.vivoscuola.it/content/view/full/29246;school
centro formazione professionale enaip - arco;;istituzione scolastica e formativa;paritaria/equiparata;;diego freo;;via gazzoletti, 8 38062;arco;0464/516465;0464/516497;cfp.arco@pec.it;;cfp.arco@enaip.tn.it;https://arco.enaiptrentino.it;;https://www.vivoscuola.it/content/view/full/29248;institute
centro formazione professionale enaip - arco;capes - settore industria e artigianato;;paritaria/equiparata;;diego freo;;via gazzoletti - mogno, 8 38062;arco;0464/516465;0464/516497;cfp.arco@pec.it;;cfp.arco@enaip.tn.it;https://arco.enaiptrentino.it;tncf00100q;https://www.vivoscuola.it/content/view/full/29248;school
centro formazione professionale enaip - arco;settore industria e artigianato;;paritaria/equiparata;;diego freo;;via gazzoletti, 8 38062;arco;0464/516465;0464/516497;cfp.arco@pec.it;;cfp.arco@enaip.tn.it;https://arco.enaiptrentino.it;tnfp249sta;https://www.vivoscuola.it/content/view/full/29248;school
centro formazione professionale enaip - borgo valsugana;;istituzione scolastica e formativa;paritaria/equiparata;;francesco micheletti;;via giamaolle, 15 38051;borgo valsugana;0461/753037;0461/752070;cfp.borgo@pec.it;;cfp.borgo@enaip.tn.it;https://borgo.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29250;institute
centro formazione professionale enaip - borgo valsugana;capes - settore industria e artigianato;;paritaria/equiparata;;francesco micheletti;;via giamaolle, 15 38051;borgo valsugana;0461/753037;0461/752070;cfp.borgo@pec.it;;cfp.borgo@enaip.tn.it;https://borgo.enaiptrentino.it/;tncf00200g;https://www.vivoscuola.it/content/view/full/29250;school
centro formazione professionale enaip - borgo valsugana;settore industria e artigianato;;paritaria/equiparata;;francesco micheletti;;via giamaolle, 15 38051;borgo valsugana;0461/753037;0461/752070;cfp.borgo@pec.it;;cfp.borgo@enaip.tn.it;https://borgo.enaiptrentino.it/;tnfp250sta;https://www.vivoscuola.it/content/view/full/29250;school
centro formazione professionale enaip - cles;;istituzione scolastica e formativa;paritaria/equiparata;;luca branz;;via mitterer, 10 38023;cles;0463/421362;0463/421606;cfp.cles@pec.it;;cfp.cles@enaip.tn.it;https://cles.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29253;institute
centro formazione professionale enaip - cles;settore industria e artigianato;;paritaria/equiparata;;luca branz;;via mitterer, 10 38023;cles;0463/421362;0463/421606;cfp.cles@pec.it;;cfp.cles@enaip.tn.it;https://cles.enaiptrentino.it/;tnfp251sta;https://www.vivoscuola.it/content/view/full/29253;school
centro formazione professionale enaip - ossana;;istituzione scolastica e formativa;paritaria/equiparata;;claudia gosetti;;via di s antonio - ossana, 1 38026;ossana;0463/751102;0463/751987;cfp.ossana@pec.it;;cfp.ossana@enaip.tn.it;https://ossana.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29255;institute
centro formazione professionale enaip - ossana;capes - settore servizi;;paritaria/equiparata;;claudia gosetti;;via di s antonio - ossana, 1 38026;ossana;0463/751102;0463/751987;cfp.ossana@pec.it;;cfp.ossana@enaip.tn.it;https://ossana.enaiptrentino.it/;tncf00300b;https://www.vivoscuola.it/content/view/full/29255;school
centro formazione professionale enaip - ossana;settore servizi;;paritaria/equiparata;;claudia gosetti;;via di s antonio - ossana, 1 38026;ossana;0463/751102;0463/751987;cfp.ossana@pec.it;;cfp.ossana@enaip.tn.it;https://ossana.enaiptrentino.it/;tnfp252sta;https://www.vivoscuola.it/content/view/full/29255;school
centro formazione professionale enaip - primiero;;istituzione scolastica e formativa;paritaria/equiparata;;fausto eccher;;via forno - transacqua, 12 38054;primiero san martino di castrozza;0439/762057;0439/762833;cfp.primiero@pec.it;;cfp.primiero@enaip.tn.it;https://primiero.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29285;institute
centro formazione professionale enaip - primiero;settore industria e artigianato;;paritaria/equiparata;;fausto eccher;;via forno - transacqua, 12 38054;primiero san martino di castrozza;0439/762057;0439/762833;cfp.primiero@pec.it;;cfp.primiero@enaip.tn.it;https://primiero.enaiptrentino.it/;tnfp253sta;https://www.vivoscuola.it/content/view/full/29285;school
centro formazione professionale enaip - primiero;settore servizi;;paritaria/equiparata;;fausto eccher;;via forno - transacqua, 12 38054;primiero san martino di castrozza;0439/762057;0439/762833;cfp.primiero@pec.it;;cfp.primiero@enaip.tn.it;https://primiero.enaiptrentino.it/;tnfp253sta;https://www.vivoscuola.it/content/view/full/29285;school
centro formazione professionale enaip - tesero;;istituzione scolastica e formativa;paritaria/equiparata;;dino moser;;via caltrezza, 13 38038;tesero;0462/813133;0462/813145;cfp.tesero@pec.it;;cfp.tesero@enaip.tn.it;https://tesero.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29257;institute
