comune;provincia autonoma;popolazione;superficie;densità;altitudine;link;codice postale;istat;sito;comuni confinanti;lat;lon;lat_n;lon_n
ala;trento;8794;11995;73;180;https://it.wikipedia.org/wiki/Ala_(Italia);38061;22001;http://www.comune.ala.tn.it;https://it.wikipedia.org/wiki/Avio|https://it.wikipedia.org/wiki/Brentonico|https://it.wikipedia.org/wiki/Mori_(Italia)|https://it.wikipedia.org/wiki/Rovereto|https://it.wikipedia.org/wiki/Vallarsa;45°45′38.59″N;11°00′16.49″E;45.76071944444445;11.004580555555556
albiano;trento;1523;971;157;644;https://it.wikipedia.org/wiki/Albiano_(Trentino-Alto_Adige);38041;22002;http://www.comune.albiano.tn.it;https://it.wikipedia.org/wiki/Cembra_Lisignago|https://it.wikipedia.org/wiki/Civezzano|https://it.wikipedia.org/wiki/Fornace_(Italia)|https://it.wikipedia.org/wiki/Giovo|https://it.wikipedia.org/wiki/Lona-Lases|https://it.wikipedia.org/wiki/Trento;46°09′N;11°12′E;46.15;11.2
aldeno;trento;3274;900;364;209;https://it.wikipedia.org/wiki/Aldeno;38060;22003;http://www.comune.aldeno.tn.it/;https://it.wikipedia.org/wiki/Besenello|https://it.wikipedia.org/wiki/Cimone_(comune)|https://it.wikipedia.org/wiki/Garniga_Terme|https://it.wikipedia.org/wiki/Nomi_(Italia)|https://it.wikipedia.org/wiki/Pomarolo|https://it.wikipedia.org/wiki/Trento;45°58′25.77″N;11°05′37.36″E;45.973825000000005;11.093711111111112
altavalle;trento;1632;3368;48;673;https://it.wikipedia.org/wiki/Altavalle;38092;22235;http://www.comune.altavalle.tn.it/;https://it.wikipedia.org/wiki/Capriana|https://it.wikipedia.org/wiki/Cembra_Lisignago|https://it.wikipedia.org/wiki/Segonzano|https://it.wikipedia.org/wiki/Sover;46°11′N;11°14′E;46.18333333333333;11.233333333333333
altopiano della vigolana;trento;5116;4465;115;725;https://it.wikipedia.org/wiki/Altopiano_della_Vigolana;38049;22236;https://www.comune.vigolana.tn.it/;https://it.wikipedia.org/wiki/Besenello|https://it.wikipedia.org/wiki/Calceranica_al_Lago|https://it.wikipedia.org/wiki/Caldonazzo|https://it.wikipedia.org/wiki/Folgaria|https://it.wikipedia.org/wiki/Pergine_Valsugana|https://it.wikipedia.org/wiki/Trento;46°00′N;11°12′E;46.0;11.2
amblar-don;trento;552;2011;27;971;https://it.wikipedia.org/wiki/Amblar-Don;38011;22237;http://www.comune.amblardon.tn.it/;https://it.wikipedia.org/wiki/Cavareno|https://it.wikipedia.org/wiki/Predaia|https://it.wikipedia.org/wiki/Romeno_(Italia)|https://it.wikipedia.org/wiki/Sfruz;46°24′N;11°09′E;46.4;11.15
andalo;trento;1143;1141;100;1042;https://it.wikipedia.org/wiki/Andalo;38010;22005;https://www.comune.andalo.tn.it/;https://it.wikipedia.org/wiki/Cavedago|https://it.wikipedia.org/wiki/Fai_della_Paganella|https://it.wikipedia.org/wiki/Molveno|https://it.wikipedia.org/wiki/San_Lorenzo_Dorsino|https://it.wikipedia.org/wiki/Terre_d%27Adige|https://it.wikipedia.org/wiki/Vallelaghi;46°10′00″N;11°00′16″E;46.166666666666664;11.004444444444445
arco;trento;17763;6332;281;91;https://it.wikipedia.org/wiki/Arco_(Italia);38062;22006;http://www.comune.arco.tn.it/;https://it.wikipedia.org/wiki/Comano_Terme|https://it.wikipedia.org/wiki/Drena|https://it.wikipedia.org/wiki/Dro|https://it.wikipedia.org/wiki/Mori_(Italia)|https://it.wikipedia.org/wiki/Nago-Torbole|https://it.wikipedia.org/wiki/Riva_del_Garda|https://it.wikipedia.org/wiki/Ronzo-Chienis|https://it.wikipedia.org/wiki/Tenno|https://it.wikipedia.org/wiki/Villa_Lagarina;45°55′09.2″N;10°53′10.2″E;45.91922222222222;10.886166666666666
avio;trento;4134;6906;60;131;https://it.wikipedia.org/wiki/Avio;38063;22007;http://www.comune.avio.tn.it/;https://it.wikipedia.org/wiki/Ala_(Italia)|https://it.wikipedia.org/wiki/Brentonico;45°44′02.26″N;10°56′21.77″E;45.733961111111114;10.939380555555555
baselga di piné;trento;5209;4132;126;964;https://it.wikipedia.org/wiki/Baselga_di_Pin%C3%A9;38042;22009;http://www.comune.baselgadipine.tn.it/;https://it.wikipedia.org/wiki/Bedollo|https://it.wikipedia.org/wiki/Fornace_(Italia)|https://it.wikipedia.org/wiki/Lona-Lases|https://it.wikipedia.org/wiki/Pal%C3%B9_del_Fersina|https://it.wikipedia.org/wiki/Pergine_Valsugana|https://it.wikipedia.org/wiki/Sant%27Orsola_Terme|https://it.wikipedia.org/wiki/Segonzano|https://it.wikipedia.org/wiki/Telve|https://it.wikipedia.org/wiki/Valfloriana;46°07′47.15″N;11°14′40.68″E;46.12976388888889;11.244633333333333
bedollo;trento;1491;2727;55;1059;https://it.wikipedia.org/wiki/Bedollo;38043;22011;http://www.comunebedollo.it;https://it.wikipedia.org/wiki/Baselga_di_Pin%C3%A9|https://it.wikipedia.org/wiki/Lona-Lases|https://it.wikipedia.org/wiki/Pal%C3%B9_del_Fersina|https://it.wikipedia.org/wiki/Sant%27Orsola_Terme|https://it.wikipedia.org/wiki/Segonzano|https://it.wikipedia.org/wiki/Sover;46°10′N;11°18′E;46.166666666666664;11.3
besenello;trento;2800;2576;109;218;https://it.wikipedia.org/wiki/Besenello;38060;22013;http://www.comune.besenello.tn.it;https://it.wikipedia.org/wiki/Aldeno|https://it.wikipedia.org/wiki/Altopiano_della_Vigolana|https://it.wikipedia.org/wiki/Calliano_(Trentino-Alto_Adige)|https://it.wikipedia.org/wiki/Folgaria|https://it.wikipedia.org/wiki/Nomi_(Italia)|https://it.wikipedia.org/wiki/Trento;45°56′31″N;11°06′31″E;45.94194444444444;11.108611111111111
bieno;trento;465;1171;40;815;https://it.wikipedia.org/wiki/Bieno;38050;22015;http://www.comune.bieno.tn.it;https://it.wikipedia.org/wiki/Pieve_Tesino|https://it.wikipedia.org/wiki/Scurelle;46°04′49.48″N;11°33′14.26″E;46.08041111111111;11.553961111111112
bleggio superiore;trento;1509;3322;45;628;https://it.wikipedia.org/wiki/Bleggio_Superiore;38071;22017;http://www.comune.bleggiosuperiore.tn.it;https://it.wikipedia.org/wiki/Borgo_Lares|https://it.wikipedia.org/wiki/Comano_Terme|https://it.wikipedia.org/wiki/Fiav%C3%A9|https://it.wikipedia.org/wiki/Ledro|https://it.wikipedia.org/wiki/Tione_di_Trento;46°01′21.25″N;10°49′25.25″E;46.02256944444444;10.823680555555555
bocenago;trento;398;845;47;750;https://it.wikipedia.org/wiki/Bocenago;38080;22018;http://www.comune.bocenago.tn.it/;https://it.wikipedia.org/wiki/Comano_Terme|https://it.wikipedia.org/wiki/Caderzone_Terme|https://it.wikipedia.org/wiki/Massimeno|https://it.wikipedia.org/wiki/Spiazzo|https://it.wikipedia.org/wiki/Stenico|https://it.wikipedia.org/wiki/Strembo|https://it.wikipedia.org/wiki/Tre_Ville;46°07′06.51″N;10°46′18.7″E;46.118475000000004;10.771861111111113
bondone;trento;644;1929;33;720;https://it.wikipedia.org/wiki/Bondone;38080;22021;http://www.comune.bondone.tn.it;https://it.wikipedia.org/wiki/Storo|https://it.wikipedia.org/wiki/Ledro;45°48′23.36″N;10°33′00.97″E;45.806488888888886;10.550269444444446
borgo chiese;trento;1934;5386;36;444;https://it.wikipedia.org/wiki/Borgo_Chiese;38083;22238;http://www.comune.borgochiese.tn.it/;https://it.wikipedia.org/wiki/Castel_Condino|https://it.wikipedia.org/wiki/Ledro|https://it.wikipedia.org/wiki/Pieve_di_Bono-Prezzo|https://it.wikipedia.org/wiki/Storo|https://it.wikipedia.org/wiki/Valdaone;45°53′26.16″N;10°36′04.68″E;45.8906;10.6013
borgo d'anaunia;trento;2553;6374;40;987;https://it.wikipedia.org/wiki/Borgo_d%27Anaunia;38013;22252;https://www.comune.borgodanaunia.tn.it/;https://it.wikipedia.org/wiki/Novella_(Italia)|https://it.wikipedia.org/wiki/Ronzone|https://it.wikipedia.org/wiki/Sarnonico;46°26′19.87″N;11°08′14.39″E;46.438852777777775;11.137330555555556
borgo lares;trento;728;2196;33;595;https://it.wikipedia.org/wiki/Borgo_Lares;38079;22239;http://www.comune.borgolares.tn.it/;https://it.wikipedia.org/wiki/Bleggio_Superiore|https://it.wikipedia.org/wiki/Ledro|https://it.wikipedia.org/wiki/Sella_Giudicarie|https://it.wikipedia.org/wiki/Tione_di_Trento|https://it.wikipedia.org/wiki/Tre_Ville;46°02′07″N;10°45′08″E;46.03527777777778;10.752222222222223
borgo valsugana;trento;7081;5230;135;380;https://it.wikipedia.org/wiki/Borgo_Valsugana;38051;22022;https://www.comune.borgo-valsugana.tn.it/;https://it.wikipedia.org/wiki/Castelnuovo_(Trentino-Alto_Adige)|https://it.wikipedia.org/wiki/Levico_Terme|https://it.wikipedia.org/wiki/Novaledo|https://it.wikipedia.org/wiki/Roncegno_Terme|https://it.wikipedia.org/wiki/Ronchi_Valsugana|https://it.wikipedia.org/wiki/Telve|https://it.wikipedia.org/wiki/Telve_di_Sopra|https://it.wikipedia.org/wiki/Torcegno;46°03′N;11°27′E;46.05;11.45
brentonico;trento;4124;6321;65;692;https://it.wikipedia.org/wiki/Brentonico;38060;22025;http://www.comune.brentonico.tn.it;https://it.wikipedia.org/wiki/Ala_(Italia)|https://it.wikipedia.org/wiki/Avio|https://it.wikipedia.org/wiki/Mori_(Italia)|https://it.wikipedia.org/wiki/Nago-Torbole;45°49′N;10°57′E;45.81666666666667;10.95
bresimo;trento;244;4077;598;1036;https://it.wikipedia.org/wiki/Bresimo;38020;22026;http://www.comune.bresimo.tn.it;https://it.wikipedia.org/wiki/Caldes|https://it.wikipedia.org/wiki/Cis_(Italia)|https://it.wikipedia.org/wiki/Livo_(Trentino-Alto_Adige)|https://it.wikipedia.org/wiki/Mal%C3%A9_(Italia)|https://it.wikipedia.org/wiki/Rabbi_(comune)|https://it.wikipedia.org/wiki/Rumo;46°24′42.53″N;10°58′15.24″E;46.41181388888889;10.9709
caderzone terme;trento;696;1866;37;723;https://it.wikipedia.org/wiki/Caderzone_Terme;38080;22029;https://www.comune.caderzoneterme.tn.it/;https://it.wikipedia.org/wiki/Bocenago|https://it.wikipedia.org/wiki/Carisolo|https://it.wikipedia.org/wiki/Giustino_(Italia)|https://it.wikipedia.org/wiki/Massimeno|https://it.wikipedia.org/wiki/Pinzolo|https://it.wikipedia.org/wiki/Spiazzo|https://it.wikipedia.org/wiki/Strembo;46°08′N;10°45′E;46.13333333333333;10.75
calceranica al lago;trento;1395;386;361;465;https://it.wikipedia.org/wiki/Calceranica_al_Lago;38050;22032;https://www.comune.calceranica.tn.it/;https://it.wikipedia.org/wiki/Caldonazzo|https://it.wikipedia.org/wiki/Pergine_Valsugana|https://it.wikipedia.org/wiki/Altopiano_della_Vigolana;46°00′13″N;11°14′33″E;46.00361111111111;11.2425
caldes;trento;1106;2076;53;697;https://it.wikipedia.org/wiki/Caldes;38022;22033;http://www.comune.caldes.tn.it;https://it.wikipedia.org/wiki/Bresimo|https://it.wikipedia.org/wiki/Cavizzana|https://it.wikipedia.org/wiki/Cis_(Italia)|https://it.wikipedia.org/wiki/Cles|https://it.wikipedia.org/wiki/Mal%C3%A9_(Italia)|https://it.wikipedia.org/wiki/Terzolas;46°22′N;10°57′E;46.36666666666667;10.95
caldonazzo;trento;3962;2131;186;480;https://it.wikipedia.org/wiki/Caldonazzo;38052;22034;http://www.comune.caldonazzo.tn.it/;https://it.wikipedia.org/wiki/Altopiano_della_Vigolana|https://it.wikipedia.org/wiki/Calceranica_al_Lago|https://it.wikipedia.org/wiki/Folgaria|https://it.wikipedia.org/wiki/Lavarone|https://it.wikipedia.org/wiki/Levico_Terme|https://it.wikipedia.org/wiki/Luserna|https://it.wikipedia.org/wiki/Pergine_Valsugana|https://it.wikipedia.org/wiki/Tenna_(comune);46°00′N;11°16′E;46.0;11.266666666666667
calliano;trento;2038;1064;192;187;https://it.wikipedia.org/wiki/Calliano_(Trentino-Alto_Adige);CAP 38060;22035;http://www.comune.calliano.tn.it;https://it.wikipedia.org/wiki/Besenello|https://it.wikipedia.org/wiki/Folgaria|https://it.wikipedia.org/wiki/Nomi_(Italia)|https://it.wikipedia.org/wiki/Rovereto|https://it.wikipedia.org/wiki/Volano_(Italia);45°56′20.77″N;11°06′55.45″E;45.93910277777778;11.115402777777778
